policy,trial,phase,server_local_cache_hit_rate,server_local_cache_hit_tokens,server_local_compute_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,batch_makespan_ms,requests_per_second
prefix_aware,1,first_turn,0.6111111111111112,22528.0,14336.0,633.6878019695481,753.0883774161339,779.9447998404503,633.7863762552539,753.1525790691376,780.0172183662653,820.9079839289188,14.617959911374259
prefix_aware,1,followup,0.8707482993197279,32768.0,4864.0,243.08328765134016,133.08146595954895,424.0357171744108,243.16889233887196,133.1804934889078,424.1455864161253,430.0105683505535,27.906290875663668
prefix_aware,2,first_turn,0.6111111111111112,22528.0,14336.0,712.2618984431028,785.57338565588,919.5288673043251,712.3563960194588,785.6437247246504,919.6157440543175,931.9596439599991,12.876094021636687
prefix_aware,2,followup,0.9523809523809523,35840.0,1792.0,169.61317136883736,178.49025130271912,182.84034356474876,169.6914453059435,178.54890041053295,182.93267916888,195.01182809472084,61.53472903280194
prefix_aware,3,first_turn,0.6111111111111112,22528.0,14336.0,711.4242107296983,785.640737041831,916.9503424316645,711.5111397579312,785.7141457498074,917.0484650880098,929.3923899531364,12.911661564826334
prefix_aware,3,followup,0.9251700680272109,34816.0,2816.0,153.07130757719278,150.2207349985838,258.1463972106576,153.1663704663515,150.29166266322136,258.2280335947871,269.6052975952625,44.509511152168336
prefix_aware,4,first_turn,0.6111111111111112,22528.0,14336.0,638.1978945185741,759.6256975084543,785.6202574446797,638.2872397080064,759.6872393041849,785.6930296868086,824.1914175450802,14.559724530671474
prefix_aware,4,followup,0.8707482993197279,32768.0,4864.0,246.13480983922878,135.53685322403908,429.31852620095015,246.21982531001171,135.64696535468102,429.41449377685785,435.90256944298744,27.529087555813327
prefix_aware,5,first_turn,0.6111111111111112,22528.0,14336.0,708.2938582946857,780.780479311943,920.7554042339325,708.3787089213729,780.8409631252289,920.859626494348,932.0392571389675,12.87499416798792
prefix_aware,5,followup,0.9251700680272109,34816.0,2816.0,165.9135871256391,158.4230773150921,254.67160400003195,165.94274621456861,158.44552963972092,254.69977799803019,264.848031103611,45.30900210961164
session_aware,1,first_turn,0.6111111111111112,22528.0,14336.0,520.4305599133173,528.9500597864389,647.0880037173629,520.5129915848374,529.0161240845919,647.1607757732272,652.6063308119774,18.387808137057934
session_aware,1,followup,0.9795918367346939,36864.0,768.0,121.96201272308826,125.84469839930534,146.50782831013203,122.04090940455596,125.90694986283779,146.57045789062977,152.8545469045639,78.5060061542841
session_aware,2,first_turn,0.6111111111111112,22528.0,14336.0,523.7416593978802,520.4354003071785,661.242408119142,523.8182442262769,520.5040276050568,661.3132135942578,666.3684584200382,18.00805522586114
session_aware,2,followup,0.9795918367346939,36864.0,768.0,115.96232745796442,119.2676443606615,139.20510597527027,116.03716450432937,119.32843178510666,139.26386032253504,145.6247828900814,82.40355633050237
session_aware,3,first_turn,0.6111111111111112,22528.0,14336.0,524.1318503394723,523.5828701406717,659.1543219983578,524.2099482566118,523.645643144846,659.2243261635303,664.3006727099419,18.064109360370377
session_aware,3,followup,0.9795918367346939,36864.0,768.0,118.15981039156516,121.93604744970798,141.70285407453775,118.23573801666498,121.99737504124641,141.76938124001026,148.2582688331604,80.9398362360751
session_aware,4,first_turn,0.6111111111111112,22528.0,14336.0,523.7085347374281,519.317589700222,662.3209210112691,523.7867773200074,519.3798523396254,662.3911712318659,667.5124019384384,17.97719407931945
session_aware,4,followup,0.9795918367346939,36864.0,768.0,116.3474867741267,118.18415857851505,140.6583622097969,116.42289658387502,118.25453862547874,140.72015713900328,145.80819010734558,82.29990366909753
session_aware,5,first_turn,0.6111111111111112,22528.0,14336.0,524.9914638698101,524.3942700326443,659.6784884110093,525.0703856969873,524.4577545672655,659.759571403265,665.2210988104343,18.03911514751819
session_aware,5,followup,0.9795918367346939,36864.0,768.0,122.75950765858094,126.14882178604603,147.4711524322629,122.8371849283576,126.22233480215073,147.54125159233809,154.17077392339706,77.83576416346231
