mode,trial,lifecycle_eviction,query_join,load_mib,load_operations,revisit_mean_cohort,revisit_active_mean_cohort,revisit_max_cohort,revisit_p95_ttft_ms,revisit_goodput_tokens_s,revisit_turns_s
baseline,1,0,0,521.5,7,3.484848,3.965517,4,275.645878,293.696063,18.356004
baseline,2,0,0,521.5,7,3.484848,3.965517,4,277.738697,291.448284,18.215518
baseline,3,0,0,521.5,7,3.750000,4.000000,4,263.940579,289.541293,18.096331
lifecycle_only,1,1,0,73.5,6,3.484848,3.965517,4,281.697248,277.808357,17.363022
lifecycle_only,2,1,0,73.5,6,3.484848,3.965517,4,281.467349,278.221211,17.388826
lifecycle_only,3,1,0,73.5,6,3.484848,3.965517,4,281.258367,277.426462,17.339154
query_only,1,0,1,521.5,7,3.750000,4.000000,4,263.185651,289.806082,18.112880
query_only,2,0,1,521.5,7,3.393939,8.000000,8,81.080470,500.553287,31.284580
query_only,3,0,1,521.5,7,2.969697,7.000000,7,193.352079,292.059703,18.253731
optimized,1,1,1,73.5,6,3.750000,8.000000,8,51.697895,462.969070,28.935567
optimized,2,1,1,73.5,6,3.750000,8.000000,8,62.332814,518.475115,32.404695
optimized,3,1,1,73.5,6,3.750000,8.000000,8,49.060917,463.505770,28.969111
