workload,repetition,cache_state,prompt_tokens,total_ms,encoder_forward_ms,num_encoder_calls,preprocessor_total_ms,apply_hf_processor_ms,image_path
small,0,cold,203,69.21923160552979,0.0,0,30.844155699014664,30.32872825860977,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v7.jpg
small,0,hot,203,37.6434363424778,0.0,0,0.9444691240787506,0.5234628915786743,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v7.jpg
small,1,cold,203,56.51009455323219,8.492492139339447,1,4.694566130638123,4.025567322969437,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v8.jpg
small,1,hot,203,43.504346162080765,0.0,0,0.8465349674224854,0.4812180995941162,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v8.jpg
small,2,cold,203,57.79147893190384,9.563922882080078,1,4.2152851819992065,3.7453733384609222,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v9.jpg
small,2,hot,203,38.090772926807404,0.0,0,0.8044503629207611,0.44867396354675293,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v9.jpg
medium,0,cold,1031,154.24349904060364,37.643950432538986,1,19.41927894949913,17.433952540159225,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v7.jpg
medium,0,hot,1031,90.92313796281815,0.0,0,2.118334174156189,0.5777031183242798,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v7.jpg
medium,1,cold,1031,203.82418110966682,37.34393045306206,1,19.958343356847763,17.653528600931168,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v8.jpg
medium,1,hot,1031,94.03681755065918,0.0,0,2.82098725438118,0.8715279400348663,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v8.jpg
medium,2,cold,1031,153.2202921807766,37.244297564029694,1,23.47584441304207,20.683176815509796,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v9.jpg
medium,2,hot,1031,93.68953481316566,0.0,0,2.796504646539688,0.8381344377994537,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v9.jpg
large,0,cold,4103,766.1339119076729,286.4091023802757,1,119.95432898402214,112.85583302378654,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v7.jpg
large,0,hot,4103,339.0844538807869,0.0,0,7.34330341219902,1.108173280954361,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v7.jpg
large,1,cold,4103,767.729502171278,286.40927001833916,1,144.11143213510513,136.80541515350342,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v8.jpg
large,1,hot,4103,339.16062489151955,0.0,0,7.177505642175674,1.1682510375976562,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v8.jpg
large,2,cold,4103,768.7915675342083,286.48555278778076,1,144.92026343941689,136.65782287716866,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v9.jpg
large,2,hot,4103,339.6010361611843,0.0,0,7.766451686620712,1.0751374065876007,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v9.jpg
xlarge,0,cold,9223,2403.0675813555717,1199.964765459299,1,369.0936602652073,329.3686844408512,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v7.jpg
xlarge,0,hot,9223,811.5264326334,0.0,0,25.49082413315773,0.9258948266506195,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v7.jpg
xlarge,1,cold,9223,2314.62724506855,1201.1708095669746,1,319.33818757534027,292.24739596247673,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v8.jpg
xlarge,1,hot,9223,807.1994706988335,0.0,0,22.475972771644592,1.098528504371643,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v8.jpg
xlarge,2,cold,9223,2324.7889801859856,1203.5141736268997,1,325.8598670363426,299.5186857879162,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v9.jpg
xlarge,2,hot,9223,812.1308386325836,0.0,0,25.74906498193741,0.9304694831371307,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v9.jpg
