workload,case,repetition,ttft_ms,total_ms,prompt_tokens,render_ms,image_path
text,baseline,0,377.61032953858376,377.90973111987114,4106,0,
text,baseline,1,386.7531418800354,387.0455175638199,4106,0,
text,baseline,2,390.1801072061062,390.5411958694458,4106,0,
small,same_rank_victim,0,442.99422204494476,443.240899592638,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v27.jpg
small,same_rank_attacker,0,178.55656892061234,178.90513688325882,215,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v27.jpg
small,different_rank_victim,0,384.9249444901943,385.2313347160816,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v29.jpg
small,different_rank_attacker,0,121.11744657158852,121.45812436938286,215,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v29.jpg
small,same_rank_victim,1,427.51219868659973,427.88487300276756,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v28.jpg
small,same_rank_attacker,1,163.17684948444366,163.47118094563484,215,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v28.jpg
small,different_rank_victim,1,379.6301856637001,379.9835667014122,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v30.jpg
small,different_rank_attacker,1,101.66394338011742,102.04171761870384,215,0,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v30.jpg
medium,same_rank_victim,0,503.598865121603,504.296462982893,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v27.jpg
medium,same_rank_attacker,0,533.9825451374054,534.2644266784191,1043,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v27.jpg
medium,different_rank_victim,0,380.49525395035744,380.8540068566799,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v29.jpg
medium,different_rank_attacker,0,233.59544202685356,233.95835980772972,1043,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v29.jpg
medium,same_rank_victim,1,541.1745458841324,541.4163023233414,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v28.jpg
medium,same_rank_attacker,1,297.06818237900734,297.5412458181381,1043,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v28.jpg
medium,different_rank_victim,1,388.62867653369904,388.97092640399933,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v30.jpg
medium,different_rank_attacker,1,233.90649631619453,234.1301590204239,1043,0,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v30.jpg
large,same_rank_victim,0,1230.2777171134949,1230.6078113615513,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v27.jpg
large,same_rank_attacker,0,1264.2383426427841,1264.5747549831867,4115,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v27.jpg
large,different_rank_victim,0,385.6041543185711,385.976891964674,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v29.jpg
large,different_rank_attacker,0,961.3649025559425,961.7390558123589,4115,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v29.jpg
large,same_rank_victim,1,1167.4843430519104,1167.6409468054771,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v28.jpg
large,same_rank_attacker,1,1200.38353651762,1200.6586752831936,4115,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v28.jpg
large,different_rank_victim,1,377.95349583029747,378.33745405077934,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v30.jpg
large,different_rank_attacker,1,894.7446160018444,895.1062187552452,4115,0,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v30.jpg
xlarge,same_rank_victim,0,2525.562461465597,2525.754824280739,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v27.jpg
xlarge,same_rank_attacker,0,2743.2888634502888,2743.620291352272,9235,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v27.jpg
xlarge,different_rank_victim,0,382.99841433763504,383.36383178830147,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v29.jpg
xlarge,different_rank_attacker,0,2567.8983815014362,2568.189352750778,9235,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v29.jpg
xlarge,same_rank_victim,1,2492.6225058734417,2492.9357767105103,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v28.jpg
xlarge,same_rank_attacker,1,2710.752096027136,2711.090974509716,9235,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v28.jpg
xlarge,different_rank_victim,1,385.968130081892,386.2600587308407,4106,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v30.jpg
xlarge,different_rank_attacker,1,2468.4180691838264,2468.774426728487,9235,0,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v30.jpg
