workload,case,repetition,ttft_ms,total_ms,prompt_tokens,render_ms,image_path
text,baseline,0,388.3127458393574,388.7050300836563,4106,0,
text,baseline,1,382.046215236187,382.4037276208401,4106,0,
text,baseline,2,380.7440772652626,381.0493238270283,4106,0,
small,same_rank_victim,0,415.9141071140766,416.48590937256813,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v27.jpg
small,same_rank_attacker,0,428.1114786863327,428.36611345410347,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v27.jpg
small,different_rank_victim,0,385.3814825415611,385.7397027313709,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v29.jpg
small,different_rank_attacker,0,244.3467304110527,244.5940598845482,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v29.jpg
small,same_rank_victim,1,422.519214451313,422.87958785891533,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v28.jpg
small,same_rank_attacker,1,162.34326362609863,162.51186281442642,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v28.jpg
small,different_rank_victim,1,367.74976179003716,367.98905581235886,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v30.jpg
small,different_rank_attacker,1,90.8132754266262,91.1051370203495,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v30.jpg
medium,same_rank_victim,0,507.5047127902508,508.20960104465485,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v27.jpg
medium,same_rank_attacker,0,537.9144698381424,538.2340215146542,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v27.jpg
medium,different_rank_victim,0,383.95003601908684,384.40898433327675,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v29.jpg
medium,different_rank_attacker,0,253.16688790917397,253.35721299052238,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v29.jpg
medium,same_rank_victim,1,490.42052403092384,491.10277742147446,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v28.jpg
medium,same_rank_attacker,1,520.7798518240452,521.073080599308,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v28.jpg
medium,different_rank_victim,1,366.4478100836277,366.7359910905361,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v30.jpg
medium,different_rank_attacker,1,229.10285368561745,229.30597141385078,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v30.jpg
large,same_rank_victim,0,869.3518489599228,869.6453608572483,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v27.jpg
large,same_rank_attacker,0,1132.7455304563046,1133.101798593998,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v27.jpg
large,different_rank_victim,0,378.5441145300865,378.8573630154133,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v29.jpg
large,different_rank_attacker,0,1001.7625950276852,1002.042431384325,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v29.jpg
large,same_rank_victim,1,871.3117800652981,871.6872967779636,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v28.jpg
large,same_rank_attacker,1,1133.5287876427174,1133.732683956623,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v28.jpg
large,different_rank_victim,1,368.7330484390259,369.14557218551636,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v30.jpg
large,different_rank_attacker,1,861.8595786392689,862.1989004313946,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v30.jpg
xlarge,same_rank_victim,0,2371.1285553872585,2371.4650981128216,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v27.jpg
xlarge,same_rank_attacker,0,2599.580094218254,2599.9106019735336,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v27.jpg
xlarge,different_rank_victim,0,389.3997147679329,389.5964063704014,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v29.jpg
xlarge,different_rank_attacker,0,2431.9715537130833,2432.3311783373356,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v29.jpg
xlarge,same_rank_victim,1,2249.973189085722,2250.2894550561905,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v28.jpg
xlarge,same_rank_attacker,1,2481.128215789795,2481.3991338014603,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v28.jpg
xlarge,different_rank_victim,1,390.41710644960403,390.80195501446724,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v30.jpg
xlarge,different_rank_attacker,1,2312.379866838455,2312.5459402799606,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v30.jpg
