workload,background_load,repetition,destination,rank,ttft_ms,total_ms,prompt_tokens,image_path
small,0,0,hot_busy_rank0,0,83.74359086155891,83.93916860222816,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v11.jpg
small,0,0,cold_idle_rank1,1,95.81032767891884,96.14551812410355,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v11.jpg
small,0,1,hot_busy_rank0,0,85.02873405814171,85.23108810186386,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v12.jpg
small,0,1,cold_idle_rank1,1,87.57595717906952,87.77476102113724,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v12.jpg
small,2,0,hot_busy_rank0,0,680.0485923886299,680.7202659547329,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v13.jpg
small,2,0,cold_idle_rank1,1,124.89896267652512,125.1598410308361,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v13.jpg
small,2,1,hot_busy_rank0,0,690.2093924582005,690.4141753911972,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v14.jpg
small,2,1,cold_idle_rank1,1,107.5604073703289,107.80314728617668,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v14.jpg
small,4,0,hot_busy_rank0,0,1350.8778288960457,1351.5129163861275,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v15.jpg
small,4,0,cold_idle_rank1,1,97.35159948468208,97.68301621079445,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v15.jpg
small,4,1,hot_busy_rank0,0,1343.0456146597862,1343.7238931655884,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v16.jpg
small,4,1,cold_idle_rank1,1,129.5195035636425,129.93693351745605,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v16.jpg
small,6,0,hot_busy_rank0,0,1994.6908056735992,1995.3793697059155,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v17.jpg
small,6,0,cold_idle_rank1,1,123.3048178255558,123.47892671823502,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v17.jpg
small,6,1,hot_busy_rank0,0,1997.4883385002613,1997.7417066693306,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v18.jpg
small,6,1,cold_idle_rank1,1,119.4397434592247,119.61900815367699,215,/root/autodl-tmp/mm-dp-omni/assets/small_448_v18.jpg
medium,0,0,hot_busy_rank0,0,173.67258667945862,174.13605749607086,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v11.jpg
medium,0,0,cold_idle_rank1,1,268.27526837587357,268.6317563056946,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v11.jpg
medium,0,1,hot_busy_rank0,0,159.99509766697884,160.23173928260803,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v12.jpg
medium,0,1,cold_idle_rank1,1,225.56357085704803,225.71685165166855,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v12.jpg
medium,2,0,hot_busy_rank0,0,755.5379830300808,756.128154695034,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v13.jpg
medium,2,0,cold_idle_rank1,1,240.1052564382553,240.28018862009048,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v13.jpg
medium,2,1,hot_busy_rank0,0,750.7864311337471,751.0064952075481,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v14.jpg
medium,2,1,cold_idle_rank1,1,213.6201187968254,213.80647271871567,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v14.jpg
medium,4,0,hot_busy_rank0,0,1389.8621648550034,1390.2066983282566,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v15.jpg
medium,4,0,cold_idle_rank1,1,219.31655332446098,219.65773403644562,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v15.jpg
medium,4,1,hot_busy_rank0,0,1408.5469841957092,1408.7832160294056,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v16.jpg
medium,4,1,cold_idle_rank1,1,227.72005572915077,228.0658222734928,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v16.jpg
medium,6,0,hot_busy_rank0,0,2074.6614560484886,2074.910379946232,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v17.jpg
medium,6,0,cold_idle_rank1,1,222.33352437615395,222.75414690375328,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v17.jpg
medium,6,1,hot_busy_rank0,0,2079.298872500658,2079.553332179785,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v18.jpg
medium,6,1,cold_idle_rank1,1,245.20762637257576,245.55712565779686,1043,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v18.jpg
large,0,0,hot_busy_rank0,0,425.5170114338398,425.86683854460716,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v11.jpg
large,0,0,cold_idle_rank1,1,917.4370020627975,917.6076091825962,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v11.jpg
large,0,1,hot_busy_rank0,0,420.9193289279938,421.102412045002,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v12.jpg
large,0,1,cold_idle_rank1,1,861.4349775016308,861.6583459079266,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v12.jpg
large,2,0,hot_busy_rank0,0,1011.3571919500828,1011.7825753986835,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v13.jpg
large,2,0,cold_idle_rank1,1,863.5776676237583,863.8884127140045,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v13.jpg
large,2,1,hot_busy_rank0,0,1003.3050999045372,1003.7535130977631,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v14.jpg
large,2,1,cold_idle_rank1,1,835.8885496854782,836.1246027052402,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v14.jpg
large,4,0,hot_busy_rank0,0,1655.575878918171,1655.7711027562618,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v15.jpg
large,4,0,cold_idle_rank1,1,842.0761674642563,842.4190618097782,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v15.jpg
large,4,1,hot_busy_rank0,0,1668.0670082569122,1668.3869548141956,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v16.jpg
large,4,1,cold_idle_rank1,1,849.0593321621418,849.3821769952774,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v16.jpg
large,6,0,hot_busy_rank0,0,2329.4181935489178,2329.6306431293488,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v17.jpg
large,6,0,cold_idle_rank1,1,847.4706597626209,847.8178083896637,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v17.jpg
large,6,1,hot_busy_rank0,0,2335.6628976762295,2336.0503166913986,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v18.jpg
large,6,1,cold_idle_rank1,1,854.9913689494133,855.144776403904,4115,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v18.jpg
xlarge,0,0,hot_busy_rank0,0,901.5264473855495,901.8518254160881,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v11.jpg
xlarge,0,0,cold_idle_rank1,1,2356.4798086881638,2356.758940964937,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v11.jpg
xlarge,0,1,hot_busy_rank0,0,932.1905113756657,932.5350262224674,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v12.jpg
xlarge,0,1,cold_idle_rank1,1,2336.4493884146214,2336.799692362547,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v12.jpg
xlarge,2,0,hot_busy_rank0,0,1436.0131695866585,1436.3557547330856,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v13.jpg
xlarge,2,0,cold_idle_rank1,1,2349.68563914299,2350.0412963330746,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v13.jpg
xlarge,2,1,hot_busy_rank0,0,1430.4807595908642,1430.8206662535667,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v14.jpg
xlarge,2,1,cold_idle_rank1,1,2309.651166200638,2309.9583610892296,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v14.jpg
xlarge,4,0,hot_busy_rank0,0,2081.122927367687,2081.4101099967957,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v15.jpg
xlarge,4,0,cold_idle_rank1,1,2303.529493510723,2303.8639575242996,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v15.jpg
xlarge,4,1,hot_busy_rank0,0,2099.0910306572914,2099.409393966198,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v16.jpg
xlarge,4,1,cold_idle_rank1,1,2303.606115281582,2303.957249969244,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v16.jpg
xlarge,6,0,hot_busy_rank0,0,2771.9058804214,2772.143840789795,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v17.jpg
xlarge,6,0,cold_idle_rank1,1,2312.4983198940754,2312.718454748392,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v17.jpg
xlarge,6,1,hot_busy_rank0,0,2772.5217416882515,2772.8924565017223,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v18.jpg
xlarge,6,1,cold_idle_rank1,1,2349.06093031168,2349.357083439827,9235,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v18.jpg
