workload,repetition,cache_state,prompt_tokens,total_ms,encoder_forward_ms,num_encoder_calls,preprocessor_total_ms,apply_hf_processor_ms,image_path
small,0,cold,203,53.31315100193024,9.149730205535889,1,5.391117185354233,4.8165395855903625,/root/autodl-tmp/mm-dp-omni/assets/small_448_v8.jpg
small,0,hot,203,38.21767494082451,0.0,0,0.9962618350982666,0.5892738699913025,/root/autodl-tmp/mm-dp-omni/assets/small_448_v8.jpg
small,1,cold,203,51.251258701086044,9.026780724525452,1,4.731129854917526,4.291456192731857,/root/autodl-tmp/mm-dp-omni/assets/small_448_v9.jpg
small,1,hot,203,38.30968216061592,0.0,0,0.8380375802516937,0.4708915948867798,/root/autodl-tmp/mm-dp-omni/assets/small_448_v9.jpg
small,2,cold,203,51.05459317564964,9.021386504173279,1,4.699490964412689,4.251204431056976,/root/autodl-tmp/mm-dp-omni/assets/small_448_v10.jpg
small,2,hot,203,37.369098514318466,0.0,0,0.837273895740509,0.4724152386188507,/root/autodl-tmp/mm-dp-omni/assets/small_448_v10.jpg
medium,0,cold,1031,155.82235530018806,37.46955096721649,1,22.17433601617813,20.474310964345932,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v8.jpg
medium,0,hot,1031,90.04799649119377,0.0,0,1.9136741757392883,0.5360543727874756,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v8.jpg
medium,1,cold,1031,149.9314233660698,37.278737872838974,1,21.96536213159561,20.190171897411346,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v9.jpg
medium,1,hot,1031,90.74348956346512,0.0,0,1.966778188943863,0.5688294768333435,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v9.jpg
medium,2,cold,1031,149.77654442191124,37.29069232940674,1,21.786868572235107,20.02105489373207,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v10.jpg
medium,2,hot,1031,90.3453677892685,0.0,0,1.9425638020038605,0.5637258291244507,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v10.jpg
large,0,cold,4103,808.583814650774,285.6704890727997,1,167.14048385620117,160.71416065096855,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v8.jpg
large,0,hot,4103,334.58952233195305,0.0,0,6.341822445392609,0.887066125869751,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v8.jpg
large,1,cold,4103,800.4339039325714,285.3411138057709,1,178.38821560144424,171.7223972082138,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v9.jpg
large,1,hot,4103,334.5495015382767,0.0,0,6.25387579202652,0.845395028591156,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v9.jpg
large,2,cold,4103,827.1387331187725,285.38525477051735,1,204.3324112892151,197.62297719717026,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v10.jpg
large,2,hot,4103,334.3983516097069,0.0,0,6.350290030241013,0.7980689406394958,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v10.jpg
xlarge,0,cold,9223,2514.419946819544,1199.1222091019154,1,490.3060235083103,458.7007462978363,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v8.jpg
xlarge,0,hot,9223,796.8418262898922,0.0,0,24.01067689061165,0.9315535426139832,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v8.jpg
xlarge,1,cold,9223,2463.8714492321014,1198.9506855607033,1,475.9041555225849,458.24844762682915,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v9.jpg
xlarge,1,hot,9223,779.3743759393692,0.0,0,13.746030628681183,0.9383708238601685,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v9.jpg
xlarge,2,cold,9223,2458.7557055056095,1199.212957173586,1,470.4808294773102,453.9656452834606,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v10.jpg
xlarge,2,hot,9223,781.6462777554989,0.0,0,14.40499722957611,1.0181218385696411,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v10.jpg
