workload,case,repetition,ttft_ms,total_ms,prompt_tokens,render_ms,image_path
text,baseline,0,391.1924250423908,391.58088713884354,4106,0,
text,baseline,1,382.2673298418522,382.5853690505028,4106,0,
text,baseline,2,388.28588277101517,388.66668194532394,4106,0,
small,same_rank_victim,0,417.67364740371704,418.23189705610275,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v19.jpg
small,same_rank_attacker,0,430.8480843901634,431.10597506165504,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v19.jpg
small,different_rank_victim,0,374.8314157128334,375.01585856080055,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v21.jpg
small,different_rank_attacker,0,241.91120639443398,242.1935759484768,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v21.jpg
small,same_rank_victim,1,393.85491609573364,394.07581835985184,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v20.jpg
small,same_rank_attacker,1,403.39018777012825,404.0352813899517,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v20.jpg
small,different_rank_victim,1,378.27233225107193,378.56147810816765,4106,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v22.jpg
small,different_rank_attacker,1,77.29203253984451,77.62564346194267,215,0,/root/autodl-tmp/mm-dp-omni/assets/small_448_v22.jpg
medium,same_rank_victim,0,493.0616021156311,493.8543885946274,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v19.jpg
medium,same_rank_attacker,0,523.4567672014236,523.8268822431564,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v19.jpg
medium,different_rank_victim,0,362.61386051774025,362.9368059337139,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v21.jpg
medium,different_rank_attacker,0,235.6252186000347,235.85262894630432,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v21.jpg
medium,same_rank_victim,1,490.1178106665611,490.80877006053925,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v20.jpg
medium,same_rank_attacker,1,520.4726047813892,520.7643210887909,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v20.jpg
medium,different_rank_victim,1,387.28633150458336,387.56880164146423,4106,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v22.jpg
medium,different_rank_attacker,1,225.51238536834717,225.7079742848873,1043,0,/root/autodl-tmp/mm-dp-omni/assets/medium_1024_v22.jpg
large,same_rank_victim,0,907.4911698698997,907.8337103128433,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v19.jpg
large,same_rank_attacker,0,1168.1921295821667,1168.5322150588036,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v19.jpg
large,different_rank_victim,0,392.9351642727852,393.26535910367966,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v21.jpg
large,different_rank_attacker,0,971.0023291409016,971.2546169757843,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v21.jpg
large,same_rank_victim,1,1036.834854632616,1037.053108215332,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v20.jpg
large,same_rank_attacker,1,1078.1217440962791,1078.3574283123016,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v20.jpg
large,different_rank_victim,1,386.5511566400528,387.0052620768547,4106,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v22.jpg
large,different_rank_attacker,1,858.2650497555733,858.4951423108578,4115,0,/root/autodl-tmp/mm-dp-omni/assets/large_2048_v22.jpg
xlarge,same_rank_victim,0,2403.3691696822643,2403.6577977240086,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v19.jpg
xlarge,same_rank_attacker,0,2633.1250704824924,2633.558362722397,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v19.jpg
xlarge,different_rank_victim,0,372.3960407078266,372.7226257324219,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v21.jpg
xlarge,different_rank_attacker,0,2394.219908863306,2394.5307061076164,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v21.jpg
xlarge,same_rank_victim,1,2248.859751969576,2249.263059347868,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v20.jpg
xlarge,same_rank_attacker,1,2475.365299731493,2475.640408694744,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v20.jpg
xlarge,different_rank_victim,1,376.0982118546963,376.5479438006878,4106,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v22.jpg
xlarge,different_rank_attacker,1,2330.753494054079,2331.0927003622055,9235,0,/root/autodl-tmp/mm-dp-omni/assets/xlarge_3072_v22.jpg
