scenario,arm,trial,cache_hits,cache_request_hit_rate,cached_token_rate,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,batch_makespan_ms,requests_per_second
controlled,baseline,1,0,0.000000000,0.000000000,1156.070188681,1395.054303110,1755.623891950,1775.711659342,8.447317401
controlled,baseline,2,0,0.000000000,0.000000000,1156.937274585,1395.565237850,1755.234954134,1775.850333273,8.446657761
controlled,baseline,3,0,0.000000000,0.000000000,1162.653241058,1405.500892550,1759.956717119,1780.213546008,8.425955433
controlled,baseline,4,0,0.000000000,0.000000000,1163.492817928,1402.283661067,1763.755521551,1784.109625965,8.407555109
controlled,baseline,5,0,0.000000000,0.000000000,1165.080525229,1412.215825170,1761.144536361,1781.191624701,8.421328616
controlled,prefix_aware,1,15,1.000000000,0.997402597,94.582815965,104.654192924,117.454989627,134.421832860,111.589015571
controlled,prefix_aware,2,15,1.000000000,0.997402597,109.774194906,119.344744831,141.732253507,153.751816601,97.559822912
controlled,prefix_aware,3,15,1.000000000,0.997402597,60.986124227,64.089015126,76.261246577,84.352120757,177.825997324
controlled,prefix_aware,4,15,1.000000000,0.997402597,84.428399553,87.836991996,108.371849358,119.965646416,125.035795231
controlled,prefix_aware,5,15,1.000000000,0.997402597,104.976562162,110.732454807,132.811031863,143.272347748,104.695708807
shuffled,baseline,1,8,0.533333333,0.531948052,651.643059403,751.849532127,856.822809950,910.674847662,16.471301517
shuffled,baseline,2,10,0.666666667,0.664935065,513.481599341,552.760805935,751.359028742,762.136828154,19.681505270
shuffled,baseline,3,8,0.533333333,0.531948052,667.884486169,670.407854021,956.116384268,971.418909729,15.441330048
shuffled,baseline,4,8,0.533333333,0.531948052,574.529205759,702.173594385,847.891736403,922.433823347,16.261329128
shuffled,baseline,5,8,0.533333333,0.531948052,687.069234500,730.581596494,943.292030692,963.145557791,15.573969976
shuffled,prefix_aware,1,15,1.000000000,0.997402597,109.772098809,119.737971574,136.512248591,148.616183549,100.931134428
shuffled,prefix_aware,2,15,1.000000000,0.997402597,93.905368696,96.029579639,107.743448764,121.526595205,123.429772509
shuffled,prefix_aware,3,15,1.000000000,0.997402597,117.410354068,133.702844381,141.397374123,150.779049844,99.483316917
shuffled,prefix_aware,4,15,1.000000000,0.997402597,59.268544366,60.311015695,73.718580604,93.678116798,160.122774802
shuffled,prefix_aware,5,15,1.000000000,0.997402597,55.107571433,59.683240950,66.280443221,76.391544193,196.356810933
