mode,model_name,dataset,prefix_tokens,branches,variant,attention_backend,offload,dp_replicas,tp_size,agentrix_git_commit,agentrix_git_dirty,vllm_git_commit,vllm_git_dirty,num_gpu_blocks_override,use_flashinfer_sampler,prefix_aware_policy,fanout_admission_window,offload_cpu_gib,max_dataset_records,full_dataset,dataset_records,batches,requests,common_requests,branch_requests,input_tokens,output_tokens,common_input_tokens,common_output_tokens,branch_input_tokens,branch_output_tokens,request_throughput_per_s,input_throughput_tokens_per_s,output_throughput_tokens_per_s,total_throughput_tokens_per_s,branch_output_throughput_tokens_per_s,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms_mean,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,branch_latency_ms_mean,branch_latency_ms_p50,branch_latency_ms_p95,branch_latency_ms_p99,branch_ttft_ms_mean,branch_ttft_ms_p50,branch_ttft_ms_p95,branch_ttft_ms_p99,branch_tpot_ms_mean,branch_tpot_ms_p50,branch_tpot_ms_p95,branch_tpot_ms_p99,logical_kv_read_tokens,logical_kv_read_saved_tokens,logical_kv_read_reduction_percent,gpu_kv_cache_capacity_gib,peak_gpu_kv_cache_usage_percent,estimated_peak_gpu_kv_gib,cpu_kv_cache_capacity_gib,peak_cpu_kv_cache_occupancy_percent,estimated_peak_cpu_kv_gib,estimated_peak_total_kv_gib,mean_gpu_compute_utilization_percent,mean_gpu_memory_bandwidth_utilization_percent,kv_offload_load_gib,kv_offload_load_operations,kv_offload_load_average_mib,kv_offload_store_gib,kv_offload_store_operations,kv_offload_store_average_mib,output_exact_match_percent,output_token_f1_percent,output_text_similarity_percent,repeat_exact_match_percent,repeat_token_f1_percent,repeat_text_similarity_percent,dp_routed_requests,dp_affinity_routes,dp_affinity_route_percent,dp_average_route_us,dp_rank_routes,baseline_variant,output_throughput_change_percent,peak_gpu_kv_reduction_vs_baseline_percent,peak_total_kv_reduction_vs_baseline_percent,kv_offload_load_reduction_vs_baseline_percent
tp_accuracy,qwen3-14b,agencybench,16384,32,flash_tp,FLASH_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4444946,16896,132011,512,4312935,16384,5.985904977185651,100784.18327546005,383.0979185398817,101167.28119399992,371.48889070533977,8658.545603255996,8459.126960486174,13173.984783515334,13253.735319711268,5883.218320044266,5380.645949393511,10928.588567860425,11380.666417479517,44.0528140192338,45.342626464035774,49.245777318165416,69.16207642604908,8665.611316027935,8718.568528071046,13174.174890853465,13266.467594541607,5912.35656288336,5661.440907046199,10930.1936076954,11402.594676613804,43.70245639912023,45.342626464035774,48.94781557636128,49.53326088272863,4312839.0,0.0,0.0,21.90673828125,52.19572001783326,11.434379778320746,0.0,,0.0,11.434379778320746,97.24712643678161,30.028735632183906,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_tp,0.0,0.0,0.0,
tp_accuracy,qwen3-14b,agencybench,16384,32,fork_tp_run1,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4444946,16896,132011,512,4312935,16384,5.044761736617459,84938.23296261678,322.86475114351737,85261.09771376029,313.080970805835,10787.755678252628,9695.272313430905,17103.067451529205,17231.57744254917,7142.521508404929,5993.788188323379,13889.889195002615,14323.277630731463,57.86085983885236,58.7046727656372,64.79693522883785,76.61886137570181,10846.320645068772,10792.788129299879,17103.613628074527,17232.245177589357,7210.784025330213,6997.872978448868,13891.142897307873,14335.988889262078,57.706930472040625,58.7046727656372,64.40143072829832,66.17325136349314,134539.0,4178300.0,96.88050029226687,21.90673828125,52.106553722692816,11.414846351409244,0.0,,0.0,11.414846351409244,83.42233009708738,24.95145631067961,0.0,0,0.0,0.0,0,0.0,93.56060606060606,97.84084242515233,96.633027404255,,,,0,0,,,[],flash_tp,-15.722655875013283,0.17083066410420816,0.17083066410420816,
tp_accuracy,qwen3-14b,agencybench,16384,32,fork_tp_run2,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4444946,16896,132011,512,4312935,16384,5.055222281179431,85114.35627969465,323.5342259954836,85437.89050569013,313.730158541075,10816.950064928582,9757.997378706932,16575.7897939533,16785.879859924316,7203.325151155393,6012.487264350057,13838.034677691758,14025.315991006792,57.35912561544744,58.85969690742001,62.7512813767507,76.41319943148466,10876.687064141151,10955.54069429636,16623.262065462768,16785.94989180565,7273.672444469412,7096.2234530597925,13840.615225024521,14025.815480016172,57.19070824875777,58.85969690742001,62.547758192060485,64.25013153976391,134539.0,4178300.0,96.88050029226687,21.90673828125,52.42978154257691,11.485655023963442,0.0,,0.0,11.485655023963442,83.3883495145631,26.62621359223301,0.0,0,0.0,0.0,0,0.0,93.56060606060606,98.38578324873767,97.13538934283793,93.93939393939394,98.45802911442203,97.31947932929972,0,0,,,[],flash_tp,-15.547902941215614,-0.44843049327356,-0.44843049327356,
tp_accuracy,qwen3-14b,agentboard,16384,32,flash_tp,FLASH_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4509526,16896,133967,512,4375559,16384,5.952564303617062,101678.95262815544,380.96411543149196,102059.91674358693,369.41974829720436,8725.783443163064,8540.036829188466,13132.6331615448,13333.944748416543,5980.494305632557,5433.346778154373,11119.8275975883,11456.382232531905,43.5760180560398,44.27030626388769,49.09158895708739,70.66112581463089,8731.272720207926,8793.825505301356,13133.266326971352,13333.978152647614,6011.677884758683,5773.003369569778,11122.490604408085,11456.630846485496,43.16817199125782,44.27030626388769,48.989799657156546,50.56916777754114,4375463.0,0.0,0.0,20.64697265625,56.4333017975402,11.651768391157166,0.0,,0.0,11.651768391157166,96.48850574712644,35.47126436781609,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_tp,0.0,0.0,0.0,
tp_accuracy,qwen3-14b,agentboard,16384,32,flash_tp_repeat,FLASH_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4509526,16896,133967,512,4375559,16384,5.853985735054733,99995.07907522134,374.65508704350293,100369.73416226484,363.30190258763923,8885.936685781362,8500.866336748004,13499.884307198226,13554.003793522716,6029.864096703629,5500.674059614539,11559.45817194879,11618.566236756742,45.3344855409164,46.34710215032101,50.47617830513489,70.558567516624,8897.530632297276,9017.030157148838,13500.510974787176,13554.58188764751,6063.446554369875,5930.905666202307,11564.138194546103,11618.619987927377,44.98546155440318,46.34710215032101,50.321190248406126,52.00069926324345,4375463.0,0.0,0.0,21.90673828125,53.3883192153366,11.695639363262094,0.0,,0.0,11.695639363262094,97.26404494382022,36.48314606741573,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],,,,,
tp_accuracy,qwen3-14b,agentboard,16384,32,fork_tp_run1,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4509526,16896,133967,512,4375559,16384,5.237134508381712,89458.31148122935,335.17660853642957,89793.48808976577,325.0197416110832,10176.464737929178,9831.513606011868,17002.392305992544,17046.172897331417,6814.562070931336,5956.618010997772,13800.075734220445,14160.89478906244,53.36353439679114,50.47721720285832,63.560061561801135,77.11666990012404,10213.552686211187,10049.100283533335,17002.865593880415,17046.39324825257,6870.6859148078365,6526.584628969431,13801.365763880312,14161.192368529737,53.061377323862715,50.47721720285832,62.88734186322443,63.81633083321272,196401.0,4179062.0,95.51130931743681,20.64697265625,56.90633869441817,11.749436189909531,0.0,,0.0,11.749436189909531,85.66666666666667,31.68686868686869,0.0,0,0.0,0.0,0,0.0,93.18181818181817,98.42778387772711,97.56218366102578,,,,0,0,,,[],flash_tp,-12.018850343214616,-0.8382229673093035,-0.8382229673093035,
tp_accuracy,qwen3-14b,agentboard,16384,32,fork_tp_run2,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4509526,16896,133967,512,4375559,16384,5.344672762883957,91295.23024892819,342.05905682457325,91637.28930575275,331.6936308601923,9912.170246017702,9449.640261009336,16425.767778791487,16634.575677588582,6710.511429588113,5880.263587459922,13297.822815179825,13801.828764006495,50.81998121316808,49.30033605723154,62.02126464673451,77.20063611451123,9941.830049428972,9798.91231097281,16426.403555087745,16634.839718416333,6764.326651536976,6437.135361135006,13297.958944924176,13801.842076703906,50.43656187130153,49.252453511432996,61.42563446764908,62.77430424141505,196401.0,4179062.0,95.51130931743681,21.90673828125,52.89790459206421,11.58820551524883,0.0,,0.0,11.58820551524883,86.65979381443299,32.02577319587629,0.0,0,0.0,0.0,0,0.0,93.18181818181817,98.81456308765354,98.05118281864222,91.28787878787878,98.1033269387951,96.79101684364099,0,0,,,[],flash_tp,-10.212263315890953,0.5455212786118788,0.5455212786118788,
tp_accuracy,qwen3-14b,appworld,16384,32,flash_tp,FLASH_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4449497,16896,132146,512,4317351,16384,5.863619678840409,98826.35670508092,375.27165944578616,99201.62836452671,363.89979097773204,8931.905418069977,8439.035100862384,13976.434403657913,13989.45463489741,6061.424109322781,5522.41624891758,11959.94791034609,12177.221402786672,45.56319537693962,46.662978768821745,53.127971927206666,69.35336235082812,8948.122739428072,9031.123226508498,13977.062762714922,13989.53751605004,6097.038073028671,5850.082121789455,11960.41184477508,12177.443016134202,45.25531216506987,46.662978768821745,52.92045087036159,53.59109917744284,4317159.0,0.0,0.0,21.90673828125,52.29603209986625,11.45635488359619,0.0,,0.0,11.45635488359619,97.61363636363636,31.579545454545453,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_tp,0.0,0.0,0.0,
tp_accuracy,qwen3-14b,appworld,16384,32,fork_tp_run1,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4449497,16896,132146,512,4317351,16384,5.086306050946558,85725.39210139604,325.5235872605797,86050.91568865662,315.6592361314712,10476.470810939756,9503.63353267312,16591.632775589824,16890.5610030517,6880.158544503943,5779.243918135762,13503.585310839117,14139.673128761351,57.08432168945735,57.401465695528756,64.02533686468524,76.10257378291516,10525.802086573094,10554.072070866823,16605.769025161862,16892.304121516645,6940.656303282594,6633.507955819368,13511.988724581897,14149.229622818528,56.907075925246026,57.401465695528756,63.883640226863676,65.96977981546567,158417.0,4158742.0,96.33052662642261,21.90673828125,53.03165403477485,11.617505655616082,0.0,,0.0,11.617505655616082,83.24019607843137,26.25,0.0,0,0.0,0.0,0,0.0,92.04545454545455,98.29094350229457,97.22248781772018,,,,0,0,,,[],flash_tp,-13.256549204561862,-1.4066496163682631,-1.4066496163682631,
tp_accuracy,qwen3-14b,appworld,16384,32,fork_tp_run2,FORK_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4449497,16896,132146,512,4317351,16384,5.121712568451294,86322.13904616033,327.7896043808828,86649.9286505412,317.85658606631057,10507.048393077584,9610.062401741743,16780.054654739797,16974.07571516931,6989.324342572328,5907.517833635211,13693.883406743407,14245.629282966256,55.836889690559616,56.7194688473902,62.96377894838178,75.94533417078237,10557.720725162653,10380.345417186618,16782.9147297889,16974.26355741918,7053.355696727522,6710.8015567064285,13704.221537336707,14246.063006296754,55.62484172119257,56.7194688473902,62.3844407705797,63.94616245395608,158417.0,4158742.0,96.33052662642261,21.90673828125,53.09852875613018,11.63215572579971,0.0,,0.0,11.63215572579971,83.46039603960396,27.297029702970296,0.0,0,0.0,0.0,0,0.0,94.6969696969697,98.74242145410487,98.16795812791746,92.04545454545455,98.14404138530782,97.16401352531328,0,0,,,[],flash_tp,-12.65271540489534,-1.5345268542199306,-1.5345268542199306,
tp_accuracy,qwen3-14b,swebench,16384,32,flash_tp,FLASH_ATTN,none,1,2,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,,False,False,0,8.0,8,False,8,2,264,8,256,4536585,16896,134786,512,4401799,16384,6.020184647640174,103451.05821861628,385.29181744897113,103836.35003606525,373.6163078293053,8507.797508232408,8567.370785400271,12803.656853921711,12934.517587013543,5850.781351313785,5331.65642991662,10810.362370498478,10999.378030262887,42.17485963362894,42.9198049777557,47.403166957554355,71.34620178254353,8504.77631278045,8458.427859470248,12803.831743076444,12934.625576622784,5877.5239493115805,5647.613698616624,10810.420090332627,10999.921496771276,41.702418467759834,42.9131274540273,46.93052956154422,48.876305619284274,4402064.0,0.0,0.0,21.90673828125,53.588943379402586,11.739589573812973,0.0,,0.0,11.739589573812973,97.61627906976744,35.866279069767444,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_tp,0.0,0.0,0.0,
