bucket,concurrency,repeats,errors,visual_tokens_per_request,visual_tokens_per_second_mean,visual_tokens_per_second_std,client_mean_ms_mean,client_mean_ms_std,client_p95_ms_mean,client_p95_ms_std,encoder_path_mean_ms_mean,encoder_path_mean_ms_std,gpu0_util_mean_mean,gpu0_util_mean_std,gpu0_util_peak_mean,gpu0_util_peak_std,gpu0_memory_util_mean_mean,gpu0_memory_util_mean_std,gpu0_memory_util_peak_mean,gpu0_memory_util_peak_std,gpu0_power_watts_mean_mean,gpu0_power_watts_mean_std,gpu0_power_watts_peak_mean,gpu0_power_watts_peak_std,gpu0_memory_used_mib_mean_mean,gpu0_memory_used_mib_mean_std,gpu0_memory_used_mib_peak_mean,gpu0_memory_used_mib_peak_std,gpu1_util_mean_mean,gpu1_util_mean_std,gpu1_util_peak_mean,gpu1_util_peak_std,gpu1_power_watts_mean_mean,gpu1_power_watts_mean_std,gpu1_power_watts_peak_mean,gpu1_power_watts_peak_std,gpu1_memory_used_mib_mean_mean,gpu1_memory_used_mib_mean_std,gpu1_memory_used_mib_peak_mean,gpu1_memory_used_mib_peak_std,encoder_running_mean_mean,encoder_running_mean_std,encoder_running_peak_mean,encoder_running_peak_std,encoder_waiting_mean_mean,encoder_waiting_mean_std,encoder_waiting_peak_mean,encoder_waiting_peak_std,pd_running_mean_mean,pd_running_mean_std,pd_running_peak_mean,pd_running_peak_std,pd_waiting_mean_mean,pd_waiting_mean_std,pd_waiting_peak_mean,pd_waiting_peak_std
1080p_class,1,3,0,2304,8978.802137974324,246.49756553230455,256.6712652708333,7.018384016759179,279.50658666666664,9.971976299983597,256.6712652708333,7.018384016759179,49.13866533932869,0.987987828074904,64.33333333333333,0.5773502691896257,4.203666611626811,0.17489350870255518,6.0,0.0,218.09054517376242,2.9921934936543306,233.46,3.0042636369000686,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,120.05924904896713,0.042376506431435604,120.12333333333333,0.045092497528230475,119556.0,0.0,119556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,16,3,0,2304,17452.656019747632,63.11487611515576,2032.64215215625,12.456596857024028,2719.1879916666667,129.18160309001982,2032.64215215625,12.456596857024028,92.95987060921372,2.406470071505109,100.0,0.0,8.893423203705186,0.24185888080808005,10.333333333333334,0.5773502691896257,324.2598951017829,9.151605937304545,345.7633333333333,1.4795044215321995,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,120.05527778519527,0.010707764593342604,120.13333333333334,0.01527525231652108,119556.0,0.0,119556.0,0.0,4.596501612563457,0.15145147792982677,7.333333333333333,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,4,3,0,2304,16511.000877000602,44.37112380511765,546.4222311041667,4.034506826624416,771.256971,64.50323764526951,546.4222311041667,4.034506826624416,86.87209894655338,0.35510260667598004,100.0,0.0,7.680695641542882,0.09564735607886773,9.0,0.0,295.2620906942152,0.7746822973832972,331.1066666666667,1.8344027184163458,15510.0,6349.698260547504,15510.0,6349.698260547504,0.0,0.0,0.0,0.0,119.98376826211872,0.07203392149544496,120.06,0.06999999999999826,119556.0,0.0,119556.0,0.0,1.0481997677119628,0.04175131119168106,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,1,3,0,9216,8174.726001719649,48.50171825259862,1127.3346897083334,6.702061340893764,1172.4993403333333,5.335770450529333,1127.3346897083334,6.702061340893764,58.75702725346753,1.123589126147937,100.0,0.0,4.228222642908792,0.06340722825975235,8.0,0.0,244.91098699882008,0.9081996520497737,265.40666666666664,0.42665364563466035,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,120.01562365432821,0.052802086108248984,120.11333333333333,0.032145502536646366,119556.0,0.0,119556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,16,3,0,9216,12788.721647826946,98.04142316259613,11150.116320890626,88.70205803160451,14253.379179,232.31616123340785,11150.116320890626,88.70205803160451,92.43068758550686,0.14377386986114926,100.0,0.0,6.874250582081908,0.09982573673215035,12.0,0.0,320.7128682595851,1.3827032941839057,349.47999999999996,0.651996932508131,18813.49365079365,627.8794148917024,19176.0,0.0,0.0,0.0,0.0,0.0,119.96069910410874,0.040817436085559565,120.08,0.04582575694955394,119556.0,0.0,119556.0,0.0,4.617787366582547,0.10997660140882287,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,4,3,0,9216,12612.707162140252,49.78140848033889,2877.9153074270835,11.42691710906438,3577.581744333333,7.362744531277191,2877.9153074270835,11.42691710906438,91.46214822650647,0.5862243940583405,100.0,0.0,6.621303897992033,0.05660594486873477,11.0,0.0,314.59335924619114,1.5629487963069948,339.82,0.6690291473471023,15510.0,6349.698260547504,15510.0,6349.698260547504,0.0,0.0,0.0,0.0,119.96491989006846,0.053765679689728146,120.1,0.04358898943540784,119556.0,0.0,119556.0,0.0,1.1030479783038594,0.012882154987135071,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,3,0,256,3095.226170144445,18.72088061363803,82.65305830208334,0.49951868437200514,105.579075,0.5359975840421304,82.65305830208334,0.49951868437200514,18.92270955165692,0.518457937732348,24.333333333333332,0.5773502691896257,0.9462962962962963,0.05564807111598787,1.0,0.0,147.744238791423,1.064323323044413,154.79666666666668,1.8441890720133065,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,120.0827962962963,0.05076757535886876,120.13333333333334,0.04041451884327807,119556.0,0.0,119556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,16,3,0,256,7436.023545872028,400.0198231485454,503.93613255729167,28.03763877166984,795.7279553333334,46.4807685204975,503.93613255729167,28.03763877166984,40.936868686868685,10.243960384776033,74.0,12.165525060596439,3.032828282828283,1.0816190434376736,6.333333333333333,1.1547005383792515,188.49338383838383,6.645520744625533,211.54666666666665,6.541753077985542,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,120.01878787878788,0.07979844329234913,120.1,0.07000000000000332,119556.0,0.0,119556.0,0.0,2.404040404040404,0.14813140783901477,6.333333333333333,1.1547005383792515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,4,3,0,256,3832.612196527873,117.91141313307668,254.40817344791665,6.919068997170784,401.732565,5.773838736686622,254.40817344791665,6.919068997170784,24.015151515151516,0.96613455479112,31.333333333333332,0.5773502691896257,1.2878787878787878,0.16372051708169807,2.0,0.0,153.77330303030303,2.8725959439678084,165.32333333333332,1.1015141094572232,15510.0,6349.698260547504,15510.0,6349.698260547504,0.0,0.0,0.0,0.0,120.02239393939394,0.07097958811077293,120.08,0.06082762530298411,119556.0,0.0,119556.0,0.0,0.7424242424242424,0.05169309730070301,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,1,3,0,1024,8434.97053692981,588.6567766492408,121.72056345833333,8.224140304203335,145.70531066666666,4.540140080284111,121.72056345833333,8.224140304203335,44.02226391494684,2.104423374682515,58.0,2.6457513110645907,3.1130863039399626,0.08400539281741676,4.0,0.0,201.1332165415885,2.846171216358637,222.26,8.39759489377762,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,119.98885475297061,0.07106587309138446,120.05333333333333,0.06806859285553771,119556.0,0.0,119556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,16,3,0,1024,17757.29447948384,119.52463860245331,884.6789073229166,3.653273995689299,1247.9956133333335,68.1978012053862,884.6789073229166,3.653273995689299,87.45804375804376,1.7163958079216097,100.0,0.0,8.434427284427285,0.1648789172952539,10.0,0.0,296.9744864864865,12.354321538332252,335.2733333333333,2.63667088073831,15509.801801801801,6350.041549896752,15510.0,6349.698260547504,0.0,0.0,0.0,0.0,119.99866666666667,0.05436110053798268,120.06,0.05567764362829935,119556.0,0.0,119556.0,0.0,4.216473616473617,0.1342504595881656,8.666666666666666,1.1547005383792515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium,4,3,0,1024,13607.801653691442,450.0182591214067,293.88642340625,14.67821266694867,395.9431466666667,48.13751455346741,293.88642340625,14.67821266694867,65.85714285714286,5.553899980073655,89.66666666666667,6.6583281184793925,5.325396825396825,0.1073630893529261,8.0,0.0,235.00150793650795,14.700512995532549,286.8233333333333,3.3600049603137974,19176.0,0.0,19176.0,0.0,0.0,0.0,0.0,0.0,119.95547619047619,0.03333588425613862,120.00666666666666,0.03214550253664342,119556.0,0.0,119556.0,0.0,0.5634920634920635,0.3250094480864011,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
