bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
1080p_class,16,0,64,0,2304,8.478152789,17392.46787240225,2045.645926609375,2064.575494,2656.662824,2045.645926609375,2656.662824,,91.32876712328768,100.0,8.780821917808218,10.0,317.0517808219178,344.39,19176.0,19176.0,73.0,0.0,0.0,0.0,0.0,120.05958904109589,120.15,119556.0,119556.0,73.0,4.424657534246576,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,16,1,64,0,2304,8.451575209,17447.1617838738,2031.464097453125,2062.083133,2633.165286,2031.464097453125,2633.165286,,91.82716049382717,100.0,8.728395061728396,10.0,321.17185185185184,345.57,19176.0,19176.0,81.0,0.0,0.0,0.0,0.0,120.04308641975308,120.12,119556.0,119556.0,81.0,4.654320987654321,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,16,2,64,0,2304,8.417236647,17518.33840296685,2020.81643240625,2055.813932,2867.735865,2020.81643240625,2867.735865,,95.72368421052632,100.0,9.171052631578947,11.0,334.55605263157895,347.33,19176.0,19176.0,76.0,0.0,0.0,0.0,0.0,120.06315789473685,120.13,119556.0,119556.0,76.0,4.7105263157894735,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,1,0,32,0,2304,8.2376414,8950.134682968841,257.36698890625,255.811644,276.297199,257.36698890625,276.297199,,48.76119402985075,64.0,4.134328358208955,6.0,217.84179104477613,233.9,19176.0,19176.0,67.0,0.0,0.0,0.0,0.0,120.07149253731343,120.12,119556.0,119556.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,1,1,32,0,2304,7.980619984,9238.379994012255,249.33092959375,249.838031,271.534476,249.33092959375,271.534476,,50.25974025974026,64.0,4.402597402597403,6.0,221.19935064935066,236.22,19176.0,19176.0,77.0,0.0,0.0,0.0,0.0,120.09415584415585,120.17,119556.0,119556.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,1,2,32,0,2304,8.428087843,8747.891736941878,263.3158773125,260.503335,290.688085,263.3158773125,290.688085,,48.39506172839506,65.0,4.074074074074074,6.0,215.2304938271605,230.26,19176.0,19176.0,81.0,0.0,0.0,0.0,0.0,120.0120987654321,120.08,119556.0,119556.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,4,0,32,0,2304,4.455481128,16547.707841621006,543.60269425,533.45958,698.916075,543.60269425,698.916075,,86.46341463414635,100.0,7.609756097560975,9.0,294.4765853658537,330.96,8178.0,8178.0,41.0,0.0,0.0,0.0,0.0,119.98585365853658,120.01,119556.0,119556.0,41.0,1.0731707317073171,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,4,1,32,0,2304,4.461980857,16523.602938442637,544.6203170625,535.825723,822.782019,544.6203170625,822.782019,,87.04761904761905,100.0,7.642857142857143,9.0,296.0254761904762,333.01,19176.0,19176.0,42.0,0.0,0.0,0.0,0.0,119.91071428571429,120.03,119556.0,119556.0,42.0,1.0714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,4,2,32,0,2304,4.478762005,16461.69185093817,551.043682,540.099743,792.072819,551.043682,792.072819,,87.10526315789474,100.0,7.7894736842105265,9.0,295.2842105263158,329.35,19176.0,19176.0,38.0,0.0,0.0,0.0,0.0,120.05473684210526,120.14,119556.0,119556.0,38.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4k_class,16,0,64,0,9216,46.508912367,12681.956424732576,11246.367593421875,11369.321781,14504.792454,11246.367593421875,14504.792454,,92.56904761904762,100.0,6.964285714285714,12.0,319.1170714285714,349.59,18088.480952380953,19176.0,420.0,0.0,0.0,0.0,0.0,120.005,120.13,119556.0,119556.0,420.0,4.526190476190476,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
