bucket,concurrency,repeats,errors,visual_tokens_per_request,visual_tokens_per_second_mean,visual_tokens_per_second_std,client_mean_ms_mean,client_mean_ms_std,client_p95_ms_mean,client_p95_ms_std,encoder_path_mean_ms_mean,encoder_path_mean_ms_std,gpu0_util_mean_mean,gpu0_util_mean_std,gpu0_util_peak_mean,gpu0_util_peak_std,gpu0_memory_util_mean_mean,gpu0_memory_util_mean_std,gpu0_memory_util_peak_mean,gpu0_memory_util_peak_std,gpu0_power_watts_mean_mean,gpu0_power_watts_mean_std,gpu0_power_watts_peak_mean,gpu0_power_watts_peak_std,gpu0_memory_used_mib_mean_mean,gpu0_memory_used_mib_mean_std,gpu0_memory_used_mib_peak_mean,gpu0_memory_used_mib_peak_std,gpu1_util_mean_mean,gpu1_util_mean_std,gpu1_util_peak_mean,gpu1_util_peak_std,gpu1_power_watts_mean_mean,gpu1_power_watts_mean_std,gpu1_power_watts_peak_mean,gpu1_power_watts_peak_std,gpu1_memory_used_mib_mean_mean,gpu1_memory_used_mib_mean_std,gpu1_memory_used_mib_peak_mean,gpu1_memory_used_mib_peak_std,encoder_running_mean_mean,encoder_running_mean_std,encoder_running_peak_mean,encoder_running_peak_std,encoder_waiting_mean_mean,encoder_waiting_mean_std,encoder_waiting_peak_mean,encoder_waiting_peak_std,pd_running_mean_mean,pd_running_mean_std,pd_running_peak_mean,pd_running_peak_std,pd_waiting_mean_mean,pd_waiting_mean_std,pd_waiting_peak_mean,pd_waiting_peak_std
1080p_class,1,3,0,2304,3860.0523048986574,64.85925926973198,596.93776559375,9.943939529150224,626.902533,6.950838821474243,239.23958333333334,4.8436827952327075,21.858811131573564,1.799546854379842,64.0,0.0,1.9159668508287293,0.1734988113813645,6.0,0.0,167.25205707270015,0.14755232707299604,178.41333333333333,0.3873413653785777,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,39.08570171592271,2.5090108191647653,100.0,0.0,194.60555527785084,0.9551854982319734,211.90666666666667,0.6507175526550208,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,16,3,0,2304,8791.436762664145,87.39022284928478,3842.5151734322917,43.1352890086825,5110.813476,302.19949141124516,964.90625,25.924945191902047,47.58407463025297,0.43924929936802354,100.0,0.0,4.318628116398817,0.06775758296569596,10.333333333333334,0.5773502691896257,227.39191691182137,0.9122499850798124,346.31666666666666,5.883114254655724,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,88.13411641437119,1.815283827923435,100.0,0.0,289.3083396645817,4.417467884582078,319.46333333333337,0.7807901980258973,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.6063462369194853,0.06740480661463119,7.666666666666667,1.1547005383792515,0.0,0.0,0.0,0.0,3.6632705581750167,0.08370211428534498,5.0,0.0,2.969375281477192,0.3158391444766157,6.0,1.0
1080p_class,4,3,0,2304,8533.252894025263,503.91315397108235,1044.5850174375,66.21081136303249,1469.519825,158.45006889411206,382.9270833333333,37.74938344557211,47.27684646671988,2.925881901804908,98.33333333333333,2.0816659994661326,4.113453960289403,0.28117096373267947,9.0,0.0,223.72387510295104,6.4384633833709755,269.66333333333336,0.998114889846502,14710.666666666666,6254.10915585372,14710.666666666666,6254.10915585372,84.64517302112239,4.5834977062869315,100.0,0.0,281.2260243914801,9.779742134274667,320.5366666666667,0.8130395644329423,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.1044804297968855,0.046919909768927744,1.6666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,1.2235881451071324,0.06969725051565714,2.3333333333333335,0.5773502691896257,0.0,0.0,0.0,0.0
4k_class,1,3,0,9216,3619.516185121186,42.25976821227938,2546.36677790625,29.833978072573625,2630.8926626666666,28.268637182112823,1108.7708333333333,11.552205439691303,26.740235307584292,0.49846849330100673,100.0,0.0,1.8974277744637198,0.02778800662486018,8.0,0.0,178.94445677827753,1.8455002403839411,266.05,0.9471536306217834,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,39.09077557183552,0.14769386254983913,100.0,0.0,197.39665839051136,0.43612457262524085,317.6666666666667,0.9305016568138392,120042.8651928912,164.05453962053306,120051.33333333333,170.89567968012923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04851969137583427,0.0057865057742376045,1.0,0.0,0.0,0.0,0.0,0.0
4k_class,16,3,0,9216,7925.387895776117,11.91978309803286,16781.62391491146,30.257360298294085,23135.96461866667,489.9907451469705,4043.8020833333335,50.15775001002047,57.87820934073892,0.7248155792321282,100.0,0.0,4.193403463796823,0.06400648713116257,12.0,0.0,248.40213588216028,1.3385647044352065,351.3666666666667,1.5007109426312912,18619.349116485806,2687.66066105639,18836.666666666668,2673.1317463479672,87.76655384525986,0.5089292185363522,100.0,0.0,292.35950582789087,1.8627816656452258,322.31333333333333,1.7778170134559446,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.7501394384260945,0.03356292731460226,8.666666666666666,0.5773502691896257,0.0,0.0,0.0,0.0,1.568516822390627,0.011573957977224396,2.0,0.0,7.654513609212988,0.11729872698194424,12.0,0.0
4k_class,4,3,0,9216,8230.159730274563,15.502304762250434,4313.291789802083,17.828081909479568,6788.998834999999,44.23301218697426,1493.03125,13.665900480301326,60.26930645189456,0.46546858985132095,100.0,0.0,4.301369345383724,0.048902217938508845,10.333333333333334,0.5773502691896257,252.0084923879326,1.000766814549584,338.1566666666667,1.0127849393298112,14705.86626746507,6261.833860712224,14710.666666666666,6254.10915585372,90.92942006501391,1.1216872418970916,100.0,0.0,297.83075253638367,1.5740327039656004,325.1766666666667,0.8342861219829574,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.04209369042797985,0.0007776812088978806,2.0,0.0,0.0,0.0,0.0,0.0,1.2544956190642638,0.02093772762660442,2.0,0.0,0.03571555114622826,0.03093221840342983,0.6666666666666666,0.5773502691896257
low,1,3,0,256,2100.565190093451,27.356120174190885,121.83364530208334,1.5983620674784862,141.45590733333333,10.800491437529375,60.0625,0.596212000885591,13.26721970839618,0.4070654431802418,17.0,0.0,0.7652086475615887,0.05137807825367705,1.0,0.0,141.6743891402715,0.2291567572107472,146.09,1.1957842614786405,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,25.105329311211666,0.5310701902207057,32.0,0.0,168.9075641025641,0.6065194919774425,180.50666666666666,2.5814982729673384,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,16,3,0,256,5019.17867935611,311.5887894830243,766.0103894583333,52.551749150078955,1193.8338803333334,61.461289368899486,399.625,45.843984321146216,29.10409356725146,1.4801875440943322,66.66666666666667,14.977761292440647,1.8245614035087718,0.18483603075180247,5.666666666666667,1.5275252316519468,168.78612865497075,1.4477612525208763,188.95666666666668,2.7546566634216547,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,54.888888888888886,4.008314432542724,95.33333333333333,4.618802153517006,218.22817543859648,4.137270904967364,268.41,8.431441157951584,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,1.552046783625731,0.30257606067582543,6.666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0,1.6245614035087719,0.20147196098183293,4.666666666666667,0.5773502691896257,0.0,0.0,0.0,0.0
low,4,3,0,256,3177.8873759331377,48.7916232841841,315.9778595625,4.652880377639371,434.8581213333333,38.116392805764505,165.01041666666666,7.0927403833661735,19.544817927170868,0.5409300115588715,27.0,3.4641016151377544,1.0196078431372548,0.03396178054056623,1.6666666666666667,0.5773502691896257,148.85254901960784,2.3529795094916737,157.55,1.5191774089947414,14710.666666666666,6254.10915585372,14710.666666666666,6254.10915585372,31.781512605042018,2.4397550063906515,75.33333333333333,5.686240703077327,180.23970588235295,5.871366497688,215.19,2.4924084737458183,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.12605042016806722,0.014555048803099806,1.0,0.0,0.0,0.0,0.0,0.0,0.32212885154061627,0.23504388454675829,1.6666666666666667,1.1547005383792515,0.0,0.0,0.0,0.0
medium,1,3,0,1024,3495.993311151092,37.38152500409271,292.8765253958333,3.146095773337688,315.39437633333335,1.296528490826294,121.63541666666667,2.118633231787261,18.19979192675822,0.36856297297449736,28.666666666666668,0.5773502691896257,1.293591344153142,0.0346559086119025,2.0,0.0,159.6108152309613,0.2693895606321782,168.7,0.15716233645501432,17293.333333333332,2673.1317463479672,17293.333333333332,2673.1317463479672,35.51951727007907,1.5826522721969027,53.0,0.0,197.4214760715772,1.027506530366074,216.94666666666666,1.7538053863907863,120051.33333333333,170.89567968012923,120051.33333333333,170.89567968012923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
