bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
1080p_class,16,0,64,0,2304,16.732811342,8812.386453547095,3831.5644340625,3839.996916,5395.174085,935.359375,2485.0,2890.140625,47.86538461538461,100.0,4.314102564102564,10.0,227.27935897435898,339.84,15750.0,15750.0,156.0,88.0,100.0,6.301282051282051,9.0,289.7953846153846,319.67,119854.0,119854.0,156.0,0.6410256410256411,7.0,0.0,0.0,0.0,0.0,3.6666666666666665,5.0,3.1666666666666665,7.0,0.00403893910731768,0.005320249715448533
1080p_class,16,1,64,0,2304,16.957784042,8695.475755251395,3890.070397421875,4161.294607,5143.786863,975.515625,2592.0,2908.6875,47.077922077922075,100.0,4.253246753246753,11.0,226.54116883116882,351.33,15750.0,15750.0,154.0,86.3896103896104,100.0,6.090909090909091,7.0,284.66753246753245,320.12,120150.0,120150.0,154.0,0.6493506493506493,9.0,0.0,0.0,0.0,0.0,3.5779220779220777,5.0,3.1363636363636362,6.0,0.0039407183372968235,0.005354740799503377
1080p_class,16,2,64,0,2304,16.630785934,8866.448079193948,3805.9106888124998,4077.216437,4793.47948,983.84375,2605.0,2815.65625,47.80891719745223,100.0,4.388535031847134,10.0,228.3552229299363,347.78,20380.0,20380.0,157.0,90.01273885350318,100.0,6.401273885350318,8.0,293.46210191082804,318.6,120150.0,120150.0,157.0,0.5286624203821656,7.0,0.0,0.0,0.0,0.0,3.745222929936306,5.0,2.605095541401274,5.0,0.004124815104722176,0.005320249715448533
1080p_class,1,0,32,0,2304,19.221371624,3835.730427684072,600.61030096875,607.1023,628.70863,239.6875,263.0,358.5625,23.294444444444444,64.0,2.05,6.0,167.34533333333334,178.86,15750.0,15750.0,180.0,37.638888888888886,100.0,2.6222222222222222,7.0,193.54394444444443,211.63,119854.0,119854.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,1,1,32,0,2304,18.743340882,3933.557014416999,585.6799111875,588.968027,619.226917,234.1875,257.0,349.03125,22.441988950276244,64.0,1.977900552486188,6.0,167.3288950276243,178.17,15750.0,15750.0,181.0,37.6353591160221,100.0,2.6353591160220993,7.0,194.87729281767955,211.44,120150.0,120150.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,1,2,32,0,2304,19.346766015,3810.869472594901,604.523084625,600.1442,632.772052,243.84375,266.0,358.375,19.84,64.0,1.72,6.0,167.08194285714285,178.21,20380.0,20380.0,175.0,41.98285714285714,100.0,2.954285714285714,7.0,195.39542857142857,212.65,120150.0,120150.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080p_class,4,0,32,0,2304,9.272172624,7951.534445029979,1121.02761096875,987.496888,1624.818068,426.125,657.0,691.625,44.166666666666664,100.0,3.811111111111111,9.0,216.29211111111113,268.6,8002.0,8002.0,90.0,79.4888888888889,100.0,6.155555555555556,9.0,269.9335555555556,319.6,119854.0,119854.0,90.0,0.15555555555555556,2.0,0.0,0.0,0.0,0.0,1.1777777777777778,3.0,0.0,0.0,0.0014827333800879255,0.003776773703997538
1080p_class,4,1,32,0,2304,8.366148061,8812.657804096685,1007.4902028125,961.850675,1308.095611,356.28125,619.0,648.125,49.9746835443038,96.0,4.367088607594937,9.0,227.2651898734177,270.58,15750.0,15750.0,79.0,86.18987341772151,100.0,7.012658227848101,9.0,286.93113924050635,320.95,120150.0,120150.0,79.0,0.06329113924050633,2.0,0.0,0.0,0.0,0.0,1.3037974683544304,2.0,0.0,0.0,0.0016413826646065328,0.0025178491359983957
1080p_class,4,2,32,0,2304,8.344456528,8835.566432949125,1005.23723853125,975.606087,1475.645796,366.375,638.0,635.71875,47.689189189189186,99.0,4.162162162162162,9.0,227.61432432432431,269.81,20380.0,20380.0,74.0,88.25675675675676,100.0,7.202702702702703,9.0,286.8133783783784,321.06,120150.0,120150.0,74.0,0.0945945945945946,1.0,0.0,0.0,0.0,0.0,1.1891891891891893,2.0,0.0,0.0,0.0014970994862693013,0.0025178491359983957
4k_class,16,0,64,0,9216,74.296586709,7938.776545821465,16763.187312609374,16349.569501,23687.92462,3993.421875,14107.0,12764.875,58.55426917510854,100.0,4.263386396526773,12.0,247.9518523878437,349.66,15525.74529667149,15750.0,691.0,88.26338639652677,100.0,5.677279305354559,9.0,293.7648335745297,322.81,119854.0,119854.0,691.0,0.7322720694645442,8.0,0.0,0.0,0.0,0.0,1.5803183791606368,2.0,7.76410998552822,12.0,0.005853413990891459,0.009295347152761035
