probability,repeat,requests,visual_requests,actual_visual_probability,errors,wall_seconds,latency_mean_ms,latency_p95_ms,visual_latency_mean_ms,text_latency_mean_ms,encoder_path_mean_ms,gpu_util_correlation,e_idle_pd_busy_ratio,e_busy_ratio,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
0.05,0,640,42,0.065625,0,75.551836241,2574.2889586078127,2931.629117,2716.626619047619,2564.29199917893,89.97619047619048,0.16515296265646942,0.46695402298850575,0.05028735632183908,2.1408045977011496,82.0,0.15373563218390804,7.0,19176.0,19176.0,125.58804597701149,167.96,62.37931034482759,100.0,10.873563218390805,32.0,119856.0,119856.0,259.2374856321839,323.35,0.0,0.0,0.0,0.0,0.0,0.0,17.89367816091954,32.0,0.4985632183908046,8.0,0.00584170435907835,0.013520504949470546
0.05,1,640,42,0.065625,0,75.33248359,2563.4897526765626,2910.163657,2710.4010269285714,2553.171569535117,120.19047619047619,0.1905494876179475,0.4652173913043478,0.06956521739130435,2.708695652173913,91.0,0.2028985507246377,8.0,19176.0,19176.0,127.18171014492754,189.79,63.59855072463768,100.0,11.053623188405798,32.0,120152.0,120152.0,259.8053623188406,321.56,0.002898550724637681,1.0,0.0,0.0,0.0,0.0,18.263768115942028,32.0,0.30869565217391304,8.0,0.005916758018052334,0.013520504949470546
0.10,0,640,79,0.1234375,0,78.795124713,2738.759162734375,3083.881918,2859.0786545063293,2721.8157761925136,208.56962025316454,0.2785146767755881,0.43724137931034485,0.12,5.731034482758621,95.0,0.4303448275862069,9.0,19176.0,19176.0,130.42470344827586,201.2,64.36,100.0,10.828965517241379,31.0,119850.73379310344,119854.0,261.2816551724138,322.35,0.022068965517241378,3.0,0.0,0.0,0.0,0.0,18.219310344827587,32.0,0.4882758620689655,8.0,0.006334394627954192,0.013822301934949821
0.10,1,640,79,0.1234375,0,80.9515965,2846.8595372359373,3300.563109,2980.609456898734,2828.0248783172906,76.0632911392405,0.118980853721319,0.5160857908847185,0.058981233243967826,2.265415549597855,79.0,0.1675603217158177,7.0,19176.0,19176.0,126.135,166.82,66.85522788203754,100.0,10.942359249329758,31.0,119894.09115281502,120152.0,265.63323056300266,323.04,0.0,0.0,0.0,0.0,0.0,0.0,18.50402144772118,32.0,0.7949061662198391,11.0,0.006593264307396377,0.01407236229434694
0.25,0,640,172,0.26875,0,88.93575536,3243.5822441296873,3651.042567,3317.6043838139535,3216.3775261260685,292.44767441860466,0.26711624270313505,0.4579780755176614,0.15712545676004872,9.740560292326432,100.0,0.8172959805115713,9.0,19176.0,19176.0,143.44215590742996,260.14,69.33495736906212,100.0,10.732034104750305,32.0,119856.0,119856.0,271.25880633373936,321.15,0.09135200974421437,5.0,0.0,0.0,0.0,0.0,19.30816077953715,32.0,0.4165651644336175,5.0,0.007861656555933759,0.017383506363604972
0.25,1,640,172,0.26875,0,90.212429459,3307.6513538734375,3835.84118,3381.8701121744184,3280.374374326923,260.3081395348837,0.24524040845418119,0.4781021897810219,0.13746958637469586,8.139902676399027,100.0,0.6849148418491484,9.0,19176.0,19176.0,139.56046228710463,239.01,70.17031630170317,100.0,10.726277372262773,32.0,120152.0,120152.0,273.0025182481752,325.32,0.08150851581508516,4.0,0.0,0.0,0.0,0.0,19.65450121654501,32.0,0.5705596107055961,10.0,0.008058787241454287,0.017383506363604972
0.50,0,640,301,0.4703125,0,103.411263412,3968.2071982515627,4693.744823,4056.745290561462,3889.593729858407,499.6046511627907,0.24747094054349864,0.47357293868921774,0.1828752642706131,13.576109936575053,100.0,1.2198731501057083,10.0,19176.0,19176.0,150.88533826638476,344.89,72.36997885835095,100.0,10.490486257928119,33.0,119855.87737843551,119856.0,278.5234778012685,324.22,0.35200845665961944,13.0,0.0,0.0,0.0,0.0,19.406976744186046,32.0,0.6966173361522199,7.0,0.009814864548846043,0.022048425482012912
0.50,1,640,301,0.4703125,0,103.504482151,3971.6069320796873,4722.63589,4058.986218707641,3894.0223737463125,521.4584717607974,0.2408986307872985,0.4946695095948827,0.17377398720682302,13.547974413646056,100.0,1.2462686567164178,10.0,19176.0,19176.0,153.4878997867804,338.69,73.03624733475479,100.0,10.336886993603411,33.0,120152.0,120152.0,279.1415351812367,325.23,0.39339019189765456,9.0,0.0,0.0,0.0,0.0,19.38272921108742,32.0,1.0181236673773988,11.0,0.009693005818550277,0.022289863070396265
1.00,0,640,640,1.0,0,143.831620738,5914.705487746875,7005.672405,5914.705487746875,,1112.1921875,0.046629510697104144,0.5293668954996186,0.2730739893211289,22.401983218916858,100.0,2.112890922959573,11.0,19176.0,19176.0,172.99782608695654,349.67,80.42410373760488,100.0,10.92372234935164,34.0,119856.0,119856.0,290.61160183066363,329.22,1.0518688024408849,17.0,0.0,0.0,0.0,0.0,16.547673531655224,32.0,2.364607170099161,15.0,0.013878484780105397,0.027868795916255684
1.00,1,640,640,1.0,1,144.28819568,5898.283640696875,6762.849066,5898.283640696875,,1103.7981220657277,0.01505146084055217,0.5159817351598174,0.2853881278538813,22.746575342465754,100.0,2.1430745814307457,11.0,19176.0,19176.0,172.7172602739726,349.62,79.44596651445967,100.0,10.885844748858448,35.0,120152.0,120152.0,289.2820395738204,334.48,1.112633181126332,17.0,0.0,0.0,0.0,0.0,16.28082191780822,32.0,2.13089802130898,16.0,0.013636026457023876,0.027679094953954375
