workload,input_tokens,output_tokens,concurrency,repeats,errors,tokens_per_second_mean,tokens_per_second_std,client_mean_ms_mean,client_mean_ms_std,client_p95_ms_mean,client_p95_ms_std,ttft_seconds_mean,ttft_seconds_std,tpot_seconds_mean,tpot_seconds_std,queue_seconds_mean,queue_seconds_std,prefill_seconds_mean,prefill_seconds_std,decode_seconds_mean,decode_seconds_std,gpu0_util_mean_mean,gpu0_util_mean_std,gpu0_util_peak_mean,gpu0_util_peak_std,gpu1_util_mean_mean,gpu1_util_mean_std,gpu1_util_peak_mean,gpu1_util_peak_std,gpu1_memory_util_mean_mean,gpu1_memory_util_mean_std,gpu1_memory_util_peak_mean,gpu1_memory_util_peak_std,gpu1_power_watts_mean_mean,gpu1_power_watts_mean_std,gpu1_power_watts_peak_mean,gpu1_power_watts_peak_std,gpu0_memory_used_mib_mean_mean,gpu0_memory_used_mib_mean_std,gpu0_memory_used_mib_peak_mean,gpu0_memory_used_mib_peak_std,gpu1_memory_used_mib_mean_mean,gpu1_memory_used_mib_mean_std,gpu1_memory_used_mib_peak_mean,gpu1_memory_used_mib_peak_std,pd_running_mean_mean,pd_running_mean_std,pd_running_peak_mean,pd_running_peak_std,pd_waiting_mean_mean,pd_waiting_mean_std,pd_waiting_peak_mean,pd_waiting_peak_std,pd_kv_cache_usage_mean_mean,pd_kv_cache_usage_mean_std,pd_kv_cache_usage_peak_mean,pd_kv_cache_usage_peak_std
decode,128,1024,1,3,0,76.61495248205203,0.0690818671041294,13365.544474666665,12.04708419172689,13365.544474666665,12.04708419172689,0.031358957290649414,0,0.013027198416654043,1.2206788108256764e-05,2.4767592549324036e-05,2.8695209253001993e-06,0.028258241713047028,7.809396480757853e-05,13.326823980237046,0.012487544234867622,0.0,0.0,0.0,0.0,42.291207619861844,0.12342315110673499,44.0,0.0,28.607643427293727,0.07485899725535342,30.333333333333332,2.309401076758503,251.5797093721999,1.4641766609277886,269.1766666666667,7.169549032772787,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.9943914221750914,0.004865395823226288,1.0,0.0,0.0,0.0,0.0,0.0,0.0003479085105356382,4.925363507779117e-06,0.0006208395129858602,0.0
decode,128,1024,16,3,0,1128.7519127098485,1.5489599638507787,14506.9036794375,20.15217936634502,14514.231613333333,20.532968373400045,0.20508214086294174,0.00019595123543927407,0.01395762923393463,2.4878638340738434e-05,4.475992561007539e-05,2.535129787768037e-06,0.17525267851306126,0.009704352273559976,14.278654706315137,0.025450847022517067,0.0,0.0,0.0,0.0,45.78081567555252,0.1069818626624778,71.66666666666667,22.54624876411447,28.16687552213868,0.32762615568600023,29.0,0.0,260.2724181666287,1.468371512526212,276.9433333333333,2.055075018906458,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,15.919495708969393,0.06972025031703867,16.0,0.0,0.0,0.0,0.0,0.0,0.0056699098907789965,4.625493332692754e-05,0.009933432207774318,0.0
decode,128,1024,8,3,0,581.1191885558648,0.7783585710126624,14092.348673708333,19.059045553948547,14096.580151333334,19.223254005353763,0.11559638381004333,0.011395338859994905,0.013648470941499782,2.596561234469852e-05,2.1879328414797783e-05,7.271967905084827e-06,0.0884169115840147,0.005653768107147105,13.962385773154287,0.026562821428547344,0.0,0.0,0.0,0.0,44.409928343261676,0.501013845502887,66.33333333333333,3.0550504633038935,27.700263316929984,0.2377459348345175,29.0,0.0,253.75913377363378,3.2518162275444475,269.17,4.791836808573502,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,7.960044893378226,0.03460868933280905,8.0,0.0,0.0,0.0,0.0,0.0,0.0027766842796907477,3.5284043626468306e-05,0.004966716103887103,0.0
decode,128,256,1,3,0,76.62847225950028,0.046776249080807145,3340.795608,2.0386079384316695,3340.795608,2.0386079384316695,0.03244209289550781,0,0.012947811080398589,9.439206636640469e-06,2.555176615715027e-05,2.3681509565963256e-06,0.028526505455374718,7.083058554308392e-05,3.3016918255016208,0.002406997692310027,0.0,0.0,0.0,0.0,40.73838383838384,0.2664312551351398,43.666666666666664,1.1547005383792515,27.421212121212122,0.13391745329687402,29.0,0.0,235.57809090909092,4.027927961267073,275.74333333333334,4.105366406708823,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.9888888888888889,0.01924500897298752,1.0,0.0,0.0,0.0,0.0,0.0,0.00014020277273475704,5.181069493273363e-06,0.00020694650432862005,0.0
decode,128,256,16,3,0,1088.457137833337,0.9948076808697957,3755.382240375,3.0712158165212204,3763.071947666667,3.4368592420843824,0.22436766823132834,0.028426345946429298,0.013777542570103692,0.00010694937317849017,4.385941429063678e-05,2.165638126030741e-06,0.19143298241154602,0.028990793460610176,3.513273355376441,0.027272090160505403,0.0,0.0,0.0,0.0,45.72204557498675,0.8232670846460545,77.66666666666667,4.932882862316247,25.93057763645999,1.4872066926668739,29.0,0.0,247.29827768945415,10.45796791883862,272.41333333333336,2.8805265722317555,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,15.843137254901961,0.2716942443245298,16.0,0.0,0.0,0.0,0.0,0.0,0.002228817233098187,2.2228722777623787e-05,0.003311144069258143,0.0
decode,128,256,8,3,0,571.7265574798499,2.5391490119039513,3577.497581625,15.51559538796799,3581.8004706666666,15.467724355861325,0.11047486109392984,0.019584553716418714,0.013572069247301847,8.75637841241262e-05,1.4917304118474325e-05,2.0911035236819784e-06,0.08540200003578018,0.008448294307065762,3.4608776580619938,0.022328764951671874,0.0,0.0,0.0,0.0,44.37992831541219,0.37088098304992984,61.666666666666664,11.015141094572204,26.604659498207887,0.8453926831269757,28.333333333333332,0.5773502691896257,244.41289964157707,9.352025065317676,268.71999999999997,14.056027176979988,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,7.736200716845878,0.004966453928513008,8.0,0.0,0.0,0.0,0.0,0.0,0.0010860797322601752,7.319014029875846e-05,0.00160958392255602,7.965374665469663e-05
decode,4096,1024,1,3,0,74.25680111698077,0.3524683577724939,13790.189662,65.41502579207886,13790.189662,65.41502579207886,0.4291572570800781,0.0013344918301405272,0.013052125387051436,6.354980191968331e-05,2.7524307370185852e-05,5.278655264137768e-06,0.42598500320067006,0.0004666498284328821,13.352324270953735,0.06501144736384094,0.0,0.0,0.0,0.0,44.641003066467285,0.2203108975765852,100.0,0.0,27.97460536023829,0.1372763444680304,29.666666666666668,0.5773502691896257,252.7461306348803,3.9154783715964605,278.62666666666667,11.85366750560067,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.966217295843113,0.0033225829733106826,1.0,0.0,0.0,0.0,0.0,0.0,0.002404546744524798,1.4619482000706988e-05,0.0027592867243817487,0.0
decode,4096,1024,16,3,0,777.970520474222,0.29551226668993374,21010.309724604165,9.058696498162337,21044.291491666667,8.73707297153208,4.122048998872439,0.004875775217624851,0.016490891951175923,1.2846196822073752e-05,2.21284584881505,0.0015628939178790827,1.867386201377182,0.00010088377318550187,16.87018246605294,0.013141659348893619,0.0,0.0,0.0,0.0,73.29505926081772,0.1381900772602109,100.0,0.0,26.92730906795708,0.19659133250174746,36.0,0.0,302.48411810084855,1.2968337916802137,337.60333333333335,7.874365582911011,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,13.787625359422119,0.3120713531766929,16.0,0.0,1.8048776211515534,0.27143325071644314,13.0,0.0,0.03361480681822962,0.0006266021741398796,0.04414858759010798,0.0
decode,4096,1024,8,3,0,472.1987731125464,1.0917941019843047,17328.058015375,38.9134818416721,17344.293564,39.607995879998455,2.3309484819571176,0.0010530185122113785,0.014644424738925346,3.853540309555727e-05,0.6516873054206371,0.024687060769447187,1.6447885661618784,0.03131186858436711,14.981246507920636,0.03942171736673124,0.0,0.0,0.0,0.0,64.5564002044031,0.34869486878668354,100.0,0.0,26.468393578879112,0.1472073799501188,32.333333333333336,0.5773502691896257,277.97869734247206,0.4564689986097009,295.4766666666667,2.388500226781105,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,7.285777174411518,0.0347370531104215,8.0,0.0,0.41675175473161546,0.09576104738195697,4.666666666666667,0.5773502691896257,0.01787660332260611,6.539765867927346e-05,0.02207429379505399,0.0
decode,4096,256,1,3,0,68.24313796815349,0.2682710076567357,3751.331549666667,14.74170562536182,3751.331549666667,14.74170562536182,0.4320996602376302,0.001649856934887325,0.012990474109264091,6.41081967392664e-05,2.2897496819496155e-05,2.2910026131157303e-06,0.4260248448699713,0.0006037921350384803,3.312570897862315,0.016347590168467496,0.0,0.0,0.0,0.0,48.25086625086625,0.2314176178366164,100.0,0.0,25.644837144837144,0.6041230311734189,29.666666666666668,0.5773502691896257,246.03161122661123,0.8915240675338048,275.43333333333334,7.266308095128711,19176.0,0.0,19176.0,0.0,119558.0,0.0,119558.0,0.0,0.8766458766458767,0.026406873019068123,1.0,0.0,0.0,0.0,0.0,0.0,0.0020043640184708627,5.3623575332220746e-05,0.0023453937157245086,0.0
