workload,input_tokens,output_tokens,concurrency,repeat,requests,errors,wall_seconds,tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,ttft_seconds,tpot_seconds,queue_seconds,prefill_seconds,decode_seconds,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
decode,128,1024,16,0,16,0,14.495075554,1130.314908602097,14486.6855315,14485.801644,14493.780258,,0.0139313973013023,4.183611599728465e-05,0.18645632202969864,14.25181943923235,0.0,0.0,0.0,0.0,119.46151515151516,119.57,19176.0,19176.0,45.666666666666664,50.0,28.53787878787879,29.0,261.6567424242424,274.81,119558.0,119558.0,16.0,16.0,0.0,0.0,0.005623418505407264,0.009933432207774318
decode,128,1024,16,1,16,0,14.515513097,1128.723448528056,14507.036270875,14505.768383,14514.069349,0.20494358241558075,0.01396060316256259,4.6345870941877365e-05,0.16946856025606394,14.281697035301477,0.0,0.0,0.0,0.0,119.50727272727273,119.6,19176.0,19176.0,45.878787878787875,70.0,28.045454545454547,29.0,260.42810606060607,277.11,119558.0,119558.0,15.878787878787879,16.0,0.0,0.0,0.005670386477822758,0.009933432207774318
decode,128,1024,16,2,16,0,14.534907176,1127.2173809993926,14526.9892359375,14526.474272,14534.845233,0.20522069931030273,0.013980887237939,4.609778989106417e-05,0.1698331532534212,14.302447644411586,0.0,0.0,0.0,0.0,119.27338345864662,119.37,19176.0,19176.0,45.796992481203006,95.0,27.917293233082706,29.0,258.7324060150376,278.91,119558.0,119558.0,15.8796992481203,16.0,0.0,0.0,0.005715924689106967,0.009933432207774318
decode,128,1024,1,0,1,0,13.369015075,76.5950217166615,13369.015075,13369.015075,13369.015075,0.031358957290649414,0.013030673403616966,2.479739487171173e-05,0.02826520334929228,13.330378891900182,0.0,0.0,0.0,0.0,119.30173913043478,119.51,19176.0,19176.0,42.40869565217391,44.0,28.52173913043478,29.0,252.50139130434783,277.0,119558.0,119558.0,0.991304347826087,1.0,0.0,0.0,0.0003440860537551008,0.0006208395129858602
decode,128,1024,1,1,1,0,13.375475298,76.55802707460542,13375.475298,13375.475298,13375.475298,,0.013037290928461065,2.18832865357399e-05,0.028332621790468693,13.337148619815707,0.0,0.0,0.0,0.0,119.31511627906977,119.47,19176.0,19176.0,42.30232558139535,44.0,28.65891472868217,29.0,249.89139534883722,262.92,119558.0,119558.0,1.0,1.0,0.0,0.0,0.00035346676837526086,0.0006208395129858602
decode,128,1024,1,2,1,0,13.352143051,76.69180865488916,13352.143051,13352.143051,13352.143051,,0.0130136309178841,2.7622096240520477e-05,0.02817689999938011,13.312944428995252,0.0,0.0,0.0,0.0,119.44975609756098,119.58,19176.0,19176.0,42.16260162601626,44.0,28.642276422764226,33.0,252.34634146341463,267.61,119558.0,119558.0,0.991869918699187,1.0,0.0,0.0,0.000346172709476553,0.0006208395129858602
decode,128,1024,8,0,8,0,14.080924504,581.779981681805,14075.94866025,14075.360759,14080.021234,0.1133091151714325,0.013634245416408036,2.7100322768092155e-05,0.0831377231515944,13.947833060985431,0.0,0.0,0.0,0.0,118.97051851851852,119.05,19176.0,19176.0,44.87407407407407,63.0,27.97037037037037,29.0,257.2337777777778,270.7,119558.0,119558.0,7.940740740740741,8.0,0.0,0.0,0.002794672021726822,0.004966716103887103
decode,128,1024,8,1,8,0,14.092153919,581.3163869119389,14087.839357625,14086.90906,14092.057845,0.1279618740081787,0.013632726782745241,2.496421802788973e-05,0.09438257268629968,13.946279498748481,0.0,0.0,0.0,0.0,119.31515151515151,119.41,19176.0,19176.0,43.878787878787875,69.0,27.522727272727273,29.0,253.2544696969697,273.01,119558.0,119558.0,7.9393939393939394,8.0,0.0,0.0,0.002736031372253905,0.004966716103887103
decode,128,1024,8,2,8,0,14.117780133,580.2611970738502,14113.258003250001,14112.956013,14117.661375,0.1055181622505188,0.013678440625346067,1.3573444448411465e-05,0.08773043891415,13.993044759728946,0.0,0.0,0.0,0.0,119.27546153846154,119.35,19176.0,19176.0,44.47692307692308,67.0,27.607692307692307,29.0,250.78915384615385,263.8,119558.0,119558.0,8.0,8.0,0.0,0.0,0.002799349445091516,0.004966716103887103
decode,128,256,16,0,16,0,3.76423601,1088.1358100604325,3756.510442875,3755.051425,3764.105615,0.2569604814052582,0.0136565527401627,4.245206946507096e-05,0.22431443817913532,3.482420948741492,0.0,0.0,0.0,0.0,118.83735294117648,118.89,19176.0,19176.0,46.05882352941177,72.0,27.647058823529413,29.0,259.37117647058824,273.17,119558.0,119558.0,15.529411764705882,16.0,0.0,0.0,0.002252825732783371,0.003311144069258143
