workload,background_load,repetition,destination,rank,ttft_ms,total_ms,prompt_tokens,image_path
small,0,0,hot_busy_rank0,0,93.88498961925507,94.42591667175293,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v11.jpg
small,0,0,cold_idle_rank1,1,108.7888665497303,109.14231091737747,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v11.jpg
small,0,1,hot_busy_rank0,0,85.0067175924778,85.34872904419899,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v12.jpg
small,0,1,cold_idle_rank1,1,101.3876162469387,101.82729363441467,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v12.jpg
small,2,0,hot_busy_rank0,0,683.1583827733994,683.8650144636631,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v13.jpg
small,2,0,cold_idle_rank1,1,109.02954638004303,109.3016229569912,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v13.jpg
small,2,1,hot_busy_rank0,0,680.7536482810974,680.9950135648251,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v14.jpg
small,2,1,cold_idle_rank1,1,135.53572073578835,135.8678825199604,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v14.jpg
small,4,0,hot_busy_rank0,0,1335.6260806322098,1335.9034024178982,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v15.jpg
small,4,0,cold_idle_rank1,1,117.6377609372139,117.78679862618446,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v15.jpg
small,4,1,hot_busy_rank0,0,1343.8319824635983,1344.0771326422691,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v16.jpg
small,4,1,cold_idle_rank1,1,118.17649751901627,118.52610856294632,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v16.jpg
small,6,0,hot_busy_rank0,0,2008.5203498601913,2009.1361962258816,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v17.jpg
small,6,0,cold_idle_rank1,1,132.85664096474648,133.19097086787224,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v17.jpg
small,6,1,hot_busy_rank0,0,1982.7093482017517,1982.97268897295,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v18.jpg
small,6,1,cold_idle_rank1,1,147.0843441784382,147.52141013741493,215,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v18.jpg
medium,0,0,hot_busy_rank0,0,150.32392367720604,150.66564828157425,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v11.jpg
medium,0,0,cold_idle_rank1,1,297.995388507843,298.24088513851166,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v11.jpg
medium,0,1,hot_busy_rank0,0,161.73560172319412,162.0745249092579,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v12.jpg
medium,0,1,cold_idle_rank1,1,245.51919475197792,245.84722518920898,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v12.jpg
medium,2,0,hot_busy_rank0,0,743.553951382637,744.2747429013252,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v13.jpg
medium,2,0,cold_idle_rank1,1,256.17410615086555,256.61319494247437,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v13.jpg
medium,2,1,hot_busy_rank0,0,747.4608793854713,747.7447129786015,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v14.jpg
medium,2,1,cold_idle_rank1,1,225.2064235508442,225.64368695020676,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v14.jpg
medium,4,0,hot_busy_rank0,0,1397.194765508175,1397.4385559558868,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v15.jpg
medium,4,0,cold_idle_rank1,1,252.7950182557106,253.13031673431396,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v15.jpg
medium,4,1,hot_busy_rank0,0,1408.9988023042679,1409.6732251346111,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v16.jpg
medium,4,1,cold_idle_rank1,1,200.85852593183517,201.0839842259884,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v16.jpg
medium,6,0,hot_busy_rank0,0,2075.6397545337677,2075.9675428271294,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v17.jpg
medium,6,0,cold_idle_rank1,1,213.66943791508675,214.08101171255112,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v17.jpg
medium,6,1,hot_busy_rank0,0,2076.2720182538033,2076.9487731158733,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v18.jpg
medium,6,1,cold_idle_rank1,1,209.85950902104378,210.20929515361786,1043,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v18.jpg
large,0,0,hot_busy_rank0,0,448.215551674366,448.6828148365021,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v11.jpg
large,0,0,cold_idle_rank1,1,1012.9613280296326,1013.3075043559074,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v11.jpg
large,0,1,hot_busy_rank0,0,425.2043329179287,425.5349189043045,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v12.jpg
large,0,1,cold_idle_rank1,1,873.6196309328079,873.8844059407711,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v12.jpg
large,2,0,hot_busy_rank0,0,991.3778007030487,991.7392879724503,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v13.jpg
large,2,0,cold_idle_rank1,1,893.6595059931278,893.8199020922184,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v13.jpg
large,2,1,hot_busy_rank0,0,998.632587492466,998.9691227674484,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v14.jpg
large,2,1,cold_idle_rank1,1,922.7888658642769,922.9140467941761,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v14.jpg
large,4,0,hot_busy_rank0,0,1654.9454852938652,1655.1883816719055,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v15.jpg
large,4,0,cold_idle_rank1,1,898.0994150042534,898.4478376805782,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v15.jpg
large,4,1,hot_busy_rank0,0,1661.3684594631195,1661.5576855838299,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v16.jpg
large,4,1,cold_idle_rank1,1,925.8247278630733,926.1515736579895,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v16.jpg
large,6,0,hot_busy_rank0,0,2313.0921572446823,2313.324648886919,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v17.jpg
large,6,0,cold_idle_rank1,1,897.203404456377,897.3444327712059,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v17.jpg
large,6,1,hot_busy_rank0,0,2309.9425099790096,2310.177829116583,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v18.jpg
large,6,1,cold_idle_rank1,1,883.10556858778,883.376732468605,4115,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v18.jpg
xlarge,0,0,hot_busy_rank0,0,932.3080964386463,932.6365329325199,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v11.jpg
xlarge,0,0,cold_idle_rank1,1,2581.4299881458282,2581.7752182483673,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v11.jpg
xlarge,0,1,hot_busy_rank0,0,893.7452286481857,894.0837793052197,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v12.jpg
xlarge,0,1,cold_idle_rank1,1,2548.544764518738,2548.8935373723507,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v12.jpg
xlarge,2,0,hot_busy_rank0,0,1433.0753609538078,1433.3950616419315,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v13.jpg
xlarge,2,0,cold_idle_rank1,1,2562.797874212265,2563.1583146750927,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v13.jpg
xlarge,2,1,hot_busy_rank0,0,1429.055243730545,1429.533526301384,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v14.jpg
xlarge,2,1,cold_idle_rank1,1,2522.3131477832794,2522.6570926606655,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v14.jpg
xlarge,4,0,hot_busy_rank0,0,2091.004118323326,2091.3448445498943,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v15.jpg
xlarge,4,0,cold_idle_rank1,1,2514.5467445254326,2514.8140899837017,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v15.jpg
xlarge,4,1,hot_busy_rank0,0,2091.2235230207443,2091.482151299715,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v16.jpg
xlarge,4,1,cold_idle_rank1,1,2489.9797439575195,2490.3102330863476,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v16.jpg
xlarge,6,0,hot_busy_rank0,0,2784.108344465494,2784.25046056509,9235,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v17.jpg
