experiment,case,workload,repetition,rank,cache_state,ttft_ms,total_ms,prompt_tokens,completion_tokens,image_path
interference,baseline,text,0,0,n/a,389.763455837965,389.9987153708935,4106,1,
interference,baseline,text,1,0,n/a,387.3323015868664,387.64577358961105,4106,1,
interference,baseline,text,2,0,n/a,396.03687450289726,396.48065716028214,4106,1,
locality,rank0,small,0,0,cold,100.02337768673897,108.90976339578629,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v0.jpg
locality,rank0,small,0,0,hot,116.80153012275696,117.19917505979538,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v0.jpg
locality,rank1,small,0,1,cross_rank_cold,124.65519085526466,125.09093061089516,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v0.jpg
locality,rank0,medium,0,0,cold,325.58177784085274,325.9890489280224,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v0.jpg
locality,rank0,medium,0,0,hot,279.3346866965294,279.7507233917713,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v0.jpg
locality,rank1,medium,0,1,cross_rank_cold,283.60042721033096,284.0435430407524,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v0.jpg
locality,rank0,large,0,0,cold,1060.8844570815563,1061.3227970898151,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v0.jpg
locality,rank0,large,0,0,hot,909.905206412077,910.3554971516132,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v0.jpg
locality,rank1,large,0,1,cross_rank_cold,1038.2576808333397,1038.710307329893,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v0.jpg
locality,rank0,xlarge,0,0,cold,2540.7934710383415,2541.246496140957,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v0.jpg
locality,rank0,xlarge,0,0,hot,2527.6759155094624,2528.1475335359573,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v0.jpg
locality,rank1,xlarge,0,1,cross_rank_cold,2616.434432566166,2616.941824555397,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v0.jpg
interference,same_rank_victim,small,0,0,cold,445.7066059112549,446.1118094623089,4106,1,
interference,same_rank_attacker,small,0,0,cold,202.4017535150051,202.70609110593796,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v1.jpg
interference,different_rank_victim,small,0,0,cold,384.2267766594887,384.39709320664406,4106,1,
interference,different_rank_attacker,small,0,1,cold,142.03713461756706,142.30675250291824,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v4.jpg
interference,same_rank_victim,small,1,0,cold,405.56589514017105,405.9092849493027,4106,1,
interference,same_rank_attacker,small,1,0,cold,160.42150184512138,160.87015718221664,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v2.jpg
interference,different_rank_victim,small,1,0,cold,365.5352555215359,365.86420238018036,4106,1,
interference,different_rank_attacker,small,1,1,cold,91.54881536960602,91.77450463175774,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v5.jpg
interference,same_rank_victim,small,2,0,cold,402.06245332956314,402.44852751493454,4106,1,
interference,same_rank_attacker,small,2,0,cold,157.31990337371826,157.54427015781403,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v3.jpg
interference,different_rank_victim,small,2,0,cold,387.1832303702831,387.51282170414925,4106,1,
interference,different_rank_attacker,small,2,1,cold,110.75485125184059,111.11285910010338,215,1,/root/autodl-tmp/mm-dp-experiment/assets/small_448_v6.jpg
interference,same_rank_victim,medium,0,0,cold,511.86755299568176,512.5680193305016,4106,1,
interference,same_rank_attacker,medium,0,0,cold,542.319517582655,542.5893552601337,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v1.jpg
interference,different_rank_victim,medium,0,0,cold,382.44954869151115,382.79295340180397,4106,1,
interference,different_rank_attacker,medium,0,1,cold,256.12855702638626,256.4489506185055,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v4.jpg
interference,same_rank_victim,medium,1,0,cold,496.48386612534523,497.1011318266392,4106,1,
interference,same_rank_attacker,medium,1,0,cold,526.7677418887615,527.0717851817608,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v2.jpg
interference,different_rank_victim,medium,1,0,cold,408.56681019067764,408.93150866031647,4106,1,
interference,different_rank_attacker,medium,1,1,cold,231.72738775610924,231.9641262292862,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v5.jpg
interference,same_rank_victim,medium,2,0,cold,511.40743121504784,512.0819509029388,4106,1,
interference,same_rank_attacker,medium,2,0,cold,541.7579412460327,541.9886000454426,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v3.jpg
interference,different_rank_victim,medium,2,0,cold,386.98652759194374,387.2281312942505,4106,1,
interference,different_rank_attacker,medium,2,1,cold,215.83418175578117,216.10068529844284,1043,1,/root/autodl-tmp/mm-dp-experiment/assets/medium_1024_v6.jpg
interference,same_rank_victim,large,0,0,cold,391.7616046965122,392.0963294804096,4106,1,
interference,same_rank_attacker,large,0,0,cold,1076.5395686030388,1076.879758387804,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v1.jpg
interference,different_rank_victim,large,0,0,cold,376.67737528681755,377.0873695611954,4106,1,
interference,different_rank_attacker,large,0,1,cold,1016.0575173795223,1016.4629518985748,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v4.jpg
interference,same_rank_victim,large,1,0,cold,747.8672675788403,748.1169886887074,4106,1,
interference,same_rank_attacker,large,1,0,cold,1048.1835268437862,1048.5308542847633,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v2.jpg
interference,different_rank_victim,large,1,0,cold,391.9641673564911,392.3014774918556,4106,1,
interference,different_rank_attacker,large,1,1,cold,924.6658198535442,924.9236658215523,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v5.jpg
interference,same_rank_victim,large,2,0,cold,739.6002449095249,739.8491874337196,4106,1,
interference,same_rank_attacker,large,2,0,cold,1039.1724668443203,1039.4150726497173,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v3.jpg
interference,different_rank_victim,large,2,0,cold,378.27789410948753,378.4913457930088,4106,1,
interference,different_rank_attacker,large,2,1,cold,926.8920496106148,927.2411055862904,4115,1,/root/autodl-tmp/mm-dp-experiment/assets/large_2048_v6.jpg
interference,same_rank_victim,xlarge,0,0,cold,385.4675553739071,385.7945017516613,4106,1,
interference,same_rank_attacker,xlarge,0,0,cold,2620.649430900812,2621.123254299164,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v1.jpg
interference,different_rank_victim,xlarge,0,0,cold,400.04580467939377,400.5088806152344,4106,1,
interference,different_rank_attacker,xlarge,0,1,cold,2507.5309835374355,2507.886067032814,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v4.jpg
interference,same_rank_victim,xlarge,1,0,cold,383.3007924258709,383.6435042321682,4106,1,
interference,same_rank_attacker,xlarge,1,0,cold,2552.9240779578686,2553.3828251063824,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v2.jpg
interference,different_rank_victim,xlarge,1,0,cold,398.8216333091259,399.270448833704,4106,1,
interference,different_rank_attacker,xlarge,1,1,cold,2493.254378437996,2493.539195507765,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v5.jpg
interference,same_rank_victim,xlarge,2,0,cold,378.2864436507225,378.6364905536175,4106,1,
interference,same_rank_attacker,xlarge,2,0,cold,2540.413301438093,2540.716376155615,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v3.jpg
interference,different_rank_victim,xlarge,2,0,cold,389.7985368967056,389.9814300239086,4106,1,
interference,different_rank_attacker,xlarge,2,1,cold,2481.1163507401943,2481.626134365797,9235,1,/root/autodl-tmp/mm-dp-experiment/assets/xlarge_3072_v6.jpg
